id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:536,Qwen3-8B,44,benign,norm_matched,6,final,45,0.0,0.0,0.012432536110281944,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,0.0,-0.011693175882101059,-0.027868790552020073
test:1556,Qwen3-8B,44,benign,norm_matched,6,final,33,0.0,0.0,0.02873501367866993,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,0.0,-0.0028932932764291763,0.006844084709882736
test:1638,Qwen3-8B,44,benign,norm_matched,6,final,39,0.0,0.0,0.01769031397998333,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,0.0,-0.008029930293560028,-0.010878460481762886
test:481,Qwen3-8B,44,benign,norm_matched,6,final,43,0.0,0.0,0.00924023799598217,0.030039548873901367,0.036054398864507675,0.0,0.0,0.0,0.0,0.0,-0.026814160868525505,-0.020799310877919197
test:640,Qwen3-8B,44,benign,norm_matched,6,final,10,0.0,0.0,0.02680145762860775,0.03218264877796173,0.02387271448969841,0.0,0.0,1.0,0.0,1.0,0.00292874313890934,-0.005381191149353981
test:903,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.03817465156316757,0.026822740212082863,0.03154570981860161,0.0,0.0,0.0,0.0,1.0,0.006628941744565964,0.01135191135108471
test:466,Qwen3-8B,44,benign,norm_matched,6,final,35,0.0,0.0,0.020274735987186432,0.03662761300802231,0.03060600347816944,0.0,0.0,1.0,0.0,0.0,-0.01033126749098301,-0.016352877020835876
test:787,Qwen3-8B,44,benign,norm_matched,6,final,19,0.0,0.0,0.044537149369716644,0.03477362170815468,0.022873124107718468,0.0,0.0,1.0,0.0,1.0,0.021664025261998177,0.009763527661561966
test:63,Qwen3-8B,44,benign,norm_matched,6,final,43,0.0,0.0,0.011973211541771889,0.047407366335392,0.02268475852906704,0.0,0.0,1.0,0.0,0.0,-0.01071154698729515,-0.03543415479362011
test:1639,Qwen3-8B,44,benign,norm_matched,6,final,23,0.0,0.0,0.02174270525574684,0.012345847673714161,0.01274794526398182,0.0,0.0,0.0,0.0,1.0,0.008994759991765022,0.00939685758203268
test:2265,Qwen3-8B,44,benign,norm_matched,6,final,61,0.0,0.0,0.028670569881796837,0.018142802640795708,0.02050267904996872,0.0,0.0,0.0,0.0,1.0,0.008167890831828117,0.01052776724100113
test:1745,Qwen3-8B,44,benign,norm_matched,6,final,52,0.0,0.0,0.01405662763863802,0.036397114396095276,0.036690980195999146,0.0,0.0,0.0,0.0,0.0,-0.022634352557361126,-0.022340486757457256
test:9,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.03261266648769379,0.08137275278568268,0.06592001020908356,0.0,0.0,1.0,0.0,0.0,-0.03330734372138977,-0.04876008629798889
test:1279,Qwen3-8B,44,benign,norm_matched,6,final,17,0.0,0.0,0.02321050688624382,0.03613991662859917,0.03790043666958809,0.0,0.0,0.0,0.0,0.0,-0.014689929783344269,-0.012929409742355347
test:576,Qwen3-8B,44,benign,norm_matched,6,final,45,0.0,0.0,0.03564474359154701,0.057423077523708344,0.04822539538145065,0.0,0.0,1.0,0.0,0.0,-0.01258065178990364,-0.02177833393216133
test:2207,Qwen3-8B,44,benign,norm_matched,6,final,55,0.0,0.0,0.024629885330796242,0.04054011404514313,0.038929570466279984,0.0,0.0,1.0,0.0,0.0,-0.014299685135483742,-0.015910228714346886
