model,seed,regime,phase,raw_first_order_alignment_change,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum_derived,cancellation_fraction,globally_nonharmful_but_positive_coordinate_risk
Qwen3-14B,43,conflict,5,-0.0015619613695889,0.4963248670101166,0.0872275084257125,0.0887894697953014,0.9911260755333066,1.0
Qwen3-14B,43,conflict,6,0.0001097534550353,0.5000683665275574,0.0841123089194297,0.08400255546439439,0.9993471519877938,0.0
Qwen3-14B,44,benign,1,-0.0256966426968574,0.4564486145973205,0.0501950085163116,0.075891651213169,0.7961985609580773,1.0
Qwen3-14B,44,benign,2,-0.0034701125696301,0.4932533204555511,0.0296419449150562,0.0331120574846863,0.9447029283084526,1.0
Qwen3-14B,44,benign,3,-8.340532804140821e-05,0.4988343417644501,0.0235715955495834,0.02365500087762481,0.9982339331149988,1.0
Qwen3-14B,44,benign,4,-0.0015288051217794,0.4983261525630951,0.0233734473586082,0.0249022524803876,0.9683317874856685,1.0
Qwen3-14B,44,benign,5,-0.0015298727666959,0.4992554783821106,0.0230322573333978,0.0245621301000937,0.9678560256955981,1.0
Qwen3-14B,44,benign,6,0.0004689178895205,0.5029241442680359,0.0238127335906028,0.023343815701082297,0.9900561449774447,0.0
Qwen3-14B,44,conflict,1,-0.0577914416790008,0.3504970669746399,0.0610602796077728,0.1188517212867736,0.6787793955286248,1.0
Qwen3-14B,44,conflict,2,-0.0028987526893615,0.4689768254756927,0.0617630220949649,0.0646617747843264,0.9770713280866159,1.0
Qwen3-14B,44,conflict,3,-0.0015295522753149,0.4848520457744598,0.0713713467121124,0.0729008989874273,0.9893981529995705,1.0
Qwen3-14B,44,conflict,4,0.0006997305899858,0.4979910850524902,0.0810735747218132,0.0803738441318274,0.9956658917500556,0.0
Qwen3-14B,44,conflict,5,-0.0005901254480704,0.5011830925941467,0.0842409506440162,0.0848310760920866,0.9965096210209184,1.0
Qwen3-14B,44,conflict,6,-0.0003412882215343,0.5032472610473633,0.0879727527499198,0.0883140409714541,0.9980640170807479,1.0
Qwen3-8B,42,benign,1,-0.0160271376371383,0.459559679031372,0.0366577804088592,0.052684918045997495,0.820610548882889,1.0
Qwen3-8B,42,benign,2,0.0015584781067445,0.4901435673236847,0.0208521261811256,0.0192936480743811,0.9611795229847703,0.0
Qwen3-8B,42,benign,3,0.0003463803441263,0.4943870604038238,0.0174909587949514,0.0171445784508251,0.9899992790159899,0.0
Qwen3-8B,42,benign,4,0.0005065406439825,0.4985279440879822,0.0173007771372795,0.016794236493297,0.9851432631917697,0.0
Qwen3-8B,42,benign,5,-2.8131151339039207e-05,0.4978971183300018,0.0170409437268972,0.01706907487823624,0.9991752818529742,1.0
Qwen3-8B,42,benign,6,0.0004059782950207,0.4993346929550171,0.017336681485176,0.0169307031901553,0.9881526326310814,0.0
Qwen3-8B,42,conflict,1,-0.0389502272009849,0.3551031947135925,0.0450821965932846,0.0840324237942695,0.6983282986537791,1.0
Qwen3-8B,42,conflict,2,-0.0055774645879864,0.465204507112503,0.0595482736825943,0.0651257382705807,0.9552636150821778,1.0
Qwen3-8B,42,conflict,3,-0.0018502547172829,0.4850836992263794,0.0598893426358699,0.0617395973531528,0.9847877099196138,1.0
Qwen3-8B,42,conflict,4,-0.0010907123796641,0.4961619973182678,0.0670939683914184,0.0681846807710825,0.9919372910180829,1.0
Qwen3-8B,42,conflict,5,-0.0003399245324544,0.5008474588394165,0.0723055079579353,0.07264543249038971,0.997654899434229,1.0
Qwen3-8B,42,conflict,6,-2.771831350401044e-05,0.4985151588916778,0.0751795098185539,0.07520722813205791,0.9998156864502699,1.0
Qwen3-8B,43,benign,1,-0.0170988850295543,0.4609268307685852,0.0407596938312053,0.057858578860759596,0.8266154480015805,1.0
Qwen3-8B,43,benign,2,0.001425506430678,0.4898315370082855,0.0222784783691167,0.0208529719384387,0.9669497218268059,0.0
Qwen3-8B,43,benign,3,0.0013376224087551,0.4966936409473419,0.0187561530619859,0.0174185306532308,0.963023245226262,0.0
Qwen3-8B,43,benign,4,0.0007216001977212,0.4981315433979034,0.0183293223381042,0.017607722140383,0.9799204356342335,0.0
Qwen3-8B,43,benign,5,-0.000607636233326,0.4972530007362366,0.0178215578198432,0.018429194053169198,0.9832379688163553,1.0
Qwen3-8B,43,benign,6,0.0001321307208854,0.4975000619888305,0.0182063076645135,0.0180741769436281,0.996358077288313,0.0
Qwen3-8B,43,conflict,1,-0.0413979403674602,0.35803884267807,0.0503263622522354,0.09172430261969561,0.7085691896987356,1.0
Qwen3-8B,43,conflict,2,-0.0045629278756678,0.4668671190738678,0.0587397739291191,0.0633027018047869,0.9626119689212423,1.0
Qwen3-8B,43,conflict,3,-0.0023566943127661,0.4823595583438873,0.0603425726294517,0.06269926694221781,0.9808463989081261,1.0
Qwen3-8B,43,conflict,4,0.000935589428991,0.4936637282371521,0.068090908229351,0.06715531880036,0.9930823251077794,0.0
Qwen3-8B,43,conflict,5,-0.0022203181870281,0.4959690868854522,0.0754899159073829,0.077710234094411,0.9855070756327451,1.0
Qwen3-8B,43,conflict,6,0.0004629112663678,0.5020902156829834,0.0732844322919845,0.0728215210256167,0.9968316741662023,0.0
Qwen3-8B,44,benign,1,-0.0168349780142307,0.4611571431159973,0.0396912060678005,0.0565261840820312,0.8250318576713116,1.0
