model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum,global_projection_activated,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement
Qwen3-8B,42,conflict,norm_matched,3,2457600,0.4950065016746521,-0.0137212788686156,-0.0098748207092285,-1.8911727666854856,-1.877451777458191,2303,1.91666429544458,6.798243673039219,109575,7.75112771987915,0.2781540751457214,0.7617539005726576,1.9115649309617584,819200.0,-0.0018281869124621,-0.0013642618432641,-0.0013642618432641,0.0025404824409633,0.0025404822081327,2.354572296142578,1.757070541381836,0.7462376952171326,0.5975016951560974,0.0,0.4772005379199981,0.0585507303476333,0.0603789128363132,0.0,1.7570706605911257,0.7462376952171326,0.4772005379199981,1.1920928955078125e-07,6.784547270892114e-08,0.1144882995140506,1.0,0.005210608243942316,2.2312626242601205e-05,0.3471692281658181
Qwen3-8B,42,conflict,norm_matched,4,3276800,0.4915327727794647,-0.0153133738785982,-0.0117130279541015,-1.8875048160552976,-1.8721915483474727,2303,1.9101205591249213,6.7539029940857205,109575,8.677566528320312,0.311399906873703,0.7617757203429938,1.9061863974922744,819200.0,-0.0011105282464995,-0.0008062139386311,-0.0008062138804234,0.0014107299502938,0.0014107298338785,2.084897518157959,1.513580083847046,0.72597336769104,0.5713174343109131,0.0,0.4899285733699798,0.063805416226387,0.0649159476161003,0.0,1.513580083847046,0.72597336769104,0.4899285733699798,0.0,0.0,0.1156753092800499,0.9999999403953552,0.0017368793487549383,-0.0015697823837399986,0.35371296448547684
Qwen3-8B,42,conflict,norm_matched,5,4096000,0.4945722818374634,-0.0165500156581401,-0.0106806755065917,-1.8872994184494016,-1.870749354362488,2303,1.9056165166285224,6.723551531432747,109575,9.484633445739746,0.340362012386322,0.7619750571250915,1.8955343232007,819200.0,-0.0005351519212126,-0.0003820220590569,-0.0003820220008492,0.0006071554962545,0.0006071553798392,1.9185774326324463,1.3695905208587646,0.7138572931289673,0.5489869117736816,0.0,0.4949211180210113,0.0683935582637786,0.0689287036657333,0.0,1.3695905208587646,0.7138572931289673,0.4949211180210113,0.0,0.0,0.1167878812193521,0.9999998807907104,0.0047763884067535956,-0.0028064241632818985,0.35821700698187575
Qwen3-8B,42,conflict,norm_matched,6,4915200,0.4937038421630859,-0.0172538142651319,-0.0107765197753906,-1.8875644207000728,-1.8703105449676516,2303,1.9023833528066536,6.701848291837345,109575,10.186328887939451,0.3655427992343902,0.7624669114500284,1.8889862660889047,819200.0,0.0003199905913788,0.00022711296333,0.0002271128614665,-0.0003321653057355,-0.0003321653348393,1.791101574897766,1.2712315320968628,0.7097484469413757,0.5198699831962585,0.0,0.4972487390041351,0.0731986612081527,0.072878673672676,0.0,1.2712315320968628,0.7097484469413757,0.4972487390041351,0.0,0.0,0.1178195152533589,1.0,0.003907948732376099,-0.0035102227702736976,0.36145017080374453
Qwen3-8B,43,benign,norm_matched,0,0,0.4919669926166534,-0.0149896135553717,-0.0131236314773559,-2.296619176864624,-2.2816295623779297,2303,2.7093566444212835,15.019609456318593,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Qwen3-8B,43,benign,norm_matched,1,819200,0.4902301132678985,-0.0152383586391806,-0.0151638984680175,-2.20315933227539,-2.1879210472106934,2303,2.568775735475503,13.049838203276751,577662,2.133049488067627,0.0765635073184967,0.773017520532012,2.578284262328525,819200.0,-0.0170988850295543,-0.0131127750501036,-0.0131127750501036,0.0526926666498184,0.052692674100399,2.781468391418457,2.133049488067627,0.7668789029121399,0.6484189629554749,0.0,0.4609268307685852,0.0407596938312053,0.05785858258605,0.0,2.133049488067627,0.7668789029121399,0.4609268307685852,0.0,0.0,0.1093554438702995,1.0,-0.0017368793487548828,-0.0002487450838088989,0.14058090894578035
Qwen3-8B,43,benign,norm_matched,2,1638400,0.4915327727794647,-0.017592204734683,-0.0149469375610351,-2.177498579025269,-2.1599063873291016,2303,2.529002843912725,12.54099457063623,577662,3.4252853393554688,0.122946910560131,0.7645569036900998,2.5439740583178354,819200.0,0.0001601081312401,0.0001194875367218,0.000119487507618,-0.0008571147918701,-0.0008571146172471,2.004912614822388,1.4962517023086548,0.7462927103042603,0.5086609721183777,0.0,0.4791648685932159,0.0233673937618732,0.0232072845101356,0.0,1.4962517023086548,0.7462927103042603,0.4791648685932159,0.0,0.0,0.1099510359345004,0.9999999403953552,-0.0004342198371886652,-0.002602591179311298,0.18035380050855876
Qwen3-8B,43,benign,norm_matched,3,2457600,0.4915327727794647,-0.0205335170030593,-0.009082555770874,-2.169832229614258,-2.149298667907715,2303,2.5125659927161124,12.33654496587952,577662,4.339852333068848,0.1557743102312088,0.7656870501488448,2.4967630560087857,819200.0,0.0013882187195122,0.0010054092854261,0.0010054092854261,-0.0082296840846538,-0.0082296840846538,1.6424298286437988,1.1895201206207275,0.7242441177368164,0.4529096484184265,0.0,0.4898799955844879,0.0195311307907104,0.0181429125368595,0.0,1.1895201206207275,0.7242441177368164,0.4898799955844879,0.0,0.0,0.1105119956991984,0.9999998807907104,-0.0004342198371886652,-0.0055439034476876,0.19679065170517118
Qwen3-8B,43,benign,norm_matched,4,3276800,0.4919669926166534,-0.0218019392341375,-0.0094878673553466,-2.1633195877075195,-2.141517639160156,2303,2.503862701610111,12.22964230110293,577662,4.963817119598389,0.178170844912529,0.7670991503447294,2.4986646524971,819200.0,0.0012260685907676,0.0008689467795193,0.0008689468377269,-0.0078951902687549,-0.0078951902687549,1.3370797634124756,0.9476233124732972,0.7087261080741882,0.3894564211368561,0.0,0.4953656494617462,0.0183803774416446,0.0171543098986148,0.0,0.9476233124732972,0.7087261080741882,0.4953656494617462,0.0,0.0,0.110963207003806,0.9999998807907104,0.0,-0.0068123256787658,0.2054939428111724
Qwen3-8B,43,benign,norm_matched,5,4096000,0.491098552942276,-0.0231713149696588,-0.0168286561965942,-2.158358335494995,-2.1351869106292725,2303,2.4982403880859394,12.161076348056602,577662,5.445850372314453,0.1954729110002517,0.7681690848618746,2.49433974110143,819200.0,0.0002743307850323,0.0001941526425071,0.0001941526134032,-0.0018048004712909,-0.0018048002384603,1.16958487033844,0.827752411365509,0.7077317833900452,0.3418324887752533,0.0,0.4951463043689728,0.0180104095488786,0.017736081033945,0.0,0.8277523517608643,0.7077317833900452,0.4951463043689728,5.960464477539064e-08,7.20078229298831e-08,0.111349596423679,1.0000001192092896,-0.0008684396743773859,-0.008181701414287099,0.21111625633534414
