model,regime,rows,mean_positive_coordinate_fraction,mean_cancellation_fraction,median_cancellation_fraction,fraction_globally_nonharmful_with_positive_risk,mean_positive_risk_sum
Qwen3-14B,benign,18,0.4921857582198249,0.9460310313944496,0.9704300209158334,0.7777777777777778,0.02782948811848954
Qwen3-14B,conflict,18,0.46724413335323334,0.9408553402197326,0.9913758555573813,0.7777777777777778,0.07385427132248873
Qwen3-8B,benign,42,0.4898047291097187,0.9538704480190494,0.976014446564626,0.3333333333333333,0.022035920149868396
Qwen3-8B,conflict,42,0.46627558838753475,0.9361785867848285,0.9851473927761795,0.8333333333333334,0.06374363796341982
