model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change,negative_coordinate_risk_abs_sum,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,43,conflict,global_projection,6,4915200,0.4945722818374634,-0.0189610384404659,-0.0074412822723388,-1.8888388872146609,-1.869877934455872,2303,1.8986253707506275,6.676710130178946,109575,11.372359275817873,0.4081985354423523,0.7636370741575956,1.8828935650605123,819200.0,0.0005485794972628,8.731149137020111e-11,8.731149137020111e-11,-0.0005786957917734,-9.210478907339947e-11,1.6868460178375244,1.686845779418945,0.9999998807907104,0.0009761708788573,0.0,0.501908004283905,0.0736181959509849,1.0,0.004534819163382,0.0045357728376984,0.0026052892208099,-0.0039714248850941,0.3526961558239931,0.0034737288951873,-0.0009651947766542,,,,,,,,
Qwen3-8B,43,conflict,unconstrained,6,4915200,0.4963091611862182,-0.0195087883621454,-0.0049605369567871,-1.890202164649964,-1.8706934452056885,2303,1.8986827847382644,6.6770934777364666,109575,11.371620178222656,0.4081720113754272,0.7635130624473095,1.88283805359024,819200.0,0.0004629112663678,0.0004629112663678,0.0004629112663678,-0.0004923439119011,-0.0004923439119011,1.6791396141052246,1.6791396141052246,1.0,0.0,0.0,0.5020902156829834,0.0732844322919845,0.0,0.0045229825191199,0.0045239361934363,0.0043421685695648,-0.0045191748067736,0.3526387418363563,0.0060790479183197,-0.0014612507075071,,,,,,,,
Qwen3-8B,44,benign,coordinate_mortality,6,4915200,0.5562309622764587,0.0999994650483131,0.0830373764038086,-2.5688633918762207,-2.668863296508789,2303,2.5116295163737616,12.324997491184975,577662,6.1327009201049805,0.2201253771781921,0.6833208222687245,2.50432788514474,819200.0,0.0153923910111188,-0.0152049306780099,-0.0152049306780099,-0.0938243269920349,0.132284864783287,1.1997872591018677,0.8405971527099609,0.7006218433380127,0.8560875654220581,0.5159041881561279,0.5159041881561279,0.0305973216891288,0.0,0.0012844644952565,0.0012854181695729,0.0660008490085602,0.1141758020967244,0.1986529843982074,0.013026475906372,0.0220181345939635,,,,,,,,
Qwen3-8B,44,benign,global_projection,6,4915200,0.4919669926166534,-0.0229250472038984,-0.0127551555633544,-2.150094509124756,-2.127169370651245,2303,2.4883526534683127,12.041423375724676,577662,6.640535354614258,0.238353431224823,0.7658537788689137,2.489564927419997,819200.0,0.0010466028470546,6.548361852765083e-11,3.637978807091713e-11,-0.0077011305838823,-2.676983079652473e-10,0.9773435592651368,0.9773145318031312,0.999970316886902,0.0075266496278345,0.0,0.50165855884552,0.0174780189990997,1.0,0.0011884175473824,0.0011893712216988,0.0017368793487548,-0.008748710155487,0.2219298473036564,-0.0013026297092438,-0.0007984731346368,,,,,,,,
Qwen3-8B,44,benign,unconstrained,6,4915200,0.4871906042098999,-0.025487245991826,-0.0221638679504394,-2.157978773117065,-2.13249135017395,2303,2.488415976140676,12.042185894974004,577662,6.608989715576172,0.2372211366891861,0.7687190033495426,2.4898037889323312,819200.0,0.0004814449930563,0.0004814449930563,0.0004814449930563,-0.0033777172211557,-0.0033777172211557,0.9694435000419616,0.9694435000419616,1.0,0.0,0.0,0.4993410408496856,0.0179605185985565,0.0,0.0012286261189728,0.0012295797932893,-0.0030395090579986,-0.0113109089434146,0.2218665246312929,-0.0043421685695648,-0.0012485850602388,,,,,,,,
Qwen3-8B,44,conflict,coordinate_mortality,6,4915200,0.5123751759529114,0.0281906891614198,0.0199865102767944,-1.9294527769088743,-1.9576435089111328,2303,1.978735496943981,7.233590302539459,109575,9.490555763244627,0.3406512141227722,0.6688419745117425,1.9209605962970813,819200.0,-0.0081663681194186,-0.0828654989600181,-0.0828654989600181,0.0093924831598997,0.1402493715286255,2.226681470870972,1.5131514072418213,0.6795545220375061,1.6335493326187134,0.5036346912384033,0.5036346912384033,0.0746991336345672,0.0,0.0026595646049827,0.0026605182792991,0.0221450626850128,0.0423670262098311,0.2822775496235454,-0.0603560209274292,-0.1693689804524183,,,,,,,,
Qwen3-8B,44,conflict,global_projection,6,4915200,0.4945722818374634,-0.0188507549464702,-0.007827877998352,-1.889846444129944,-1.8709957599639893,2303,1.8994565361731408,6.682261887670112,109575,11.381810188293455,0.408535361289978,0.7644760720431805,1.8835294462539605,819200.0,-0.0008191142696887,-0.0008191142696887,-0.0008191142696887,0.0008303891518153,0.0008303891518153,1.7051798105239868,1.7051798105239868,1.0,0.0,0.0,0.500421941280365,0.0747558176517486,0.0,0.0045642820186913,0.0045652356930077,0.0043421685695648,-0.0046744178980589,0.3615565103943856,-0.0013026595115661,-0.0010693594813347,,,,,,,,
Qwen3-8B,44,conflict,unconstrained,6,4915200,0.4945722818374634,-0.0188507549464702,-0.007827877998352,-1.889846444129944,-1.8709957599639893,2303,1.8994565361731408,6.682261887670112,109575,11.381810188293455,0.408535361289978,0.7644760720431805,1.8835294462539605,819200.0,-0.0008191142696887,-0.0008191142696887,-0.0008191142696887,0.0008303891518153,0.0008303891518153,1.7051798105239868,1.7051798105239868,1.0,0.0,0.0,0.500421941280365,0.0747558176517486,0.0,0.0045642820186913,0.0045652356930077,0.0043421685695648,-0.0046744178980589,0.3615565103943856,-0.0013026595115661,-0.0010693594813347,,,,,,,,
Qwen3-8B,45,benign,coordinate_mortality,6,4915200,0.5471124649047852,0.0880579426884651,0.0729315280914306,-2.428023099899292,-2.5160810947418213,2303,2.511540538019529,12.32390088198026,577662,6.015342712402344,0.2158181965351104,0.6849046759307384,2.490751426671049,819200.0,0.0151133686304092,-0.0152415251359343,-0.0152415251359343,-0.0939635336399078,0.1359027028083801,1.2081499099731443,0.8424017429351807,0.6972659230232239,0.8660169839859009,0.5173304080963135,0.5173304080963135,0.0303548946976661,0.0,0.0012425552122294,0.0012435088865458,0.0564481317996978,0.1019881023094057,0.196856023315755,0.0043421983718872,0.0129419937729836,,,,,,,,
Qwen3-8B,45,benign,global_projection,6,4915200,0.4937038421630859,-0.0209876988083124,-0.014643907546997,-2.1399874687194824,-2.118999719619751,2303,2.4882196939451617,12.039822460245418,577662,6.557630062103272,0.2352743595838546,0.7640310883522033,2.4756155755149667,819200.0,0.0004772590473294,-3.637978807091713e-11,-4.3655745685100555e-11,-0.0036249982658773,3.315872854070533e-10,0.9716514348983764,0.9716450572013856,0.9999934434890748,0.0035222347360104,0.0,0.5006828308105469,0.0168492142111063,1.0,0.0011550127528607,0.0011559664271771,0.0030395090579986,-0.0070575391873717,0.2201768673901223,0.0008684098720549,-0.0001325216144323,,,,,,,,
Qwen3-8B,45,benign,unconstrained,6,4915200,0.4919669926166534,-0.0242430754005908,-0.0169639587402343,-2.1473278999328613,-2.123085021972656,2303,2.4882261535102925,12.03990023251395,577662,6.550922393798828,0.235033705830574,0.7672980190068484,2.475675792902475,819200.0,-4.931436706101522e-05,-4.931436706101522e-05,-4.931436706101522e-05,0.0003536431177053,0.0003536431177053,0.9699089527130128,0.9699089527130128,1.0,0.0,0.0,0.499565988779068,0.0175235327333211,0.0,0.001202042447403,0.0012029961217194,0.0013026595115661,-0.0103129157796502,0.2201704078249915,0.0004342198371886,-0.0004963912069796,,,,,,,,
Qwen3-8B,45,conflict,coordinate_mortality,6,4915200,0.5935735702514648,0.188241958618164,0.1669926643371582,-3.1772310733795166,-3.3654730319976807,2303,3.4846531799441736,32.611114959621666,109575,9.487159729003906,0.3403798937797546,0.6850305160135031,1.906636728067824,819200.0,0.0706221312284469,-0.0472488440573215,-0.0472488440573215,-0.0770809575915336,0.0825726687908172,2.1287169456481934,1.3294715881347656,0.6245412826538086,1.6625105142593384,0.5749093890190125,0.5749093890190125,0.1178709715604782,0.0,0.0029845985118299,0.0029855521861463,0.1029092371463775,0.2021721182391046,-1.2184344152389204,0.0581849813461303,0.1283913850784302,,,,,,,,
Qwen3-8B,45,conflict,global_projection,6,4915200,0.4928354322910309,-0.0184980109333992,-0.0141772031784057,-1.88842248916626,-1.8699241876602173,2303,1.8984678908567192,6.675658765362573,109575,11.37565803527832,0.4081353545188904,0.7620836767554283,1.8827910962242456,819200.0,0.0012174590956419,7.275957614183426e-11,0.0,-0.0012864298187196,0.0,1.68532395362854,1.6853225231170654,0.9999991655349731,0.0021680511999875,0.0,0.5022987127304077,0.0733803957700729,1.0,0.004489216953516,0.0044901706278324,0.0021710991859436,-0.0045678513124586,0.367750873848534,0.0013026595115661,-0.0014766305685043,,,,,,,,
Qwen3-8B,45,conflict,unconstrained,6,4915200,0.4919669926166534,-0.0201043616980314,-0.0106337070465087,-1.891702651977539,-1.8715983629226685,2303,1.8983259567549693,6.6747113289704805,109575,11.376072883605955,0.4081502258777618,0.7638319166749716,1.882748827322648,819200.0,-0.0002369073918089,-0.0002369073918089,-0.0002369073918089,0.0002411741734249,0.0002411741734249,1.685656189918518,1.685656189918518,1.0,0.0,0.0,0.5021302700042725,0.0751389637589454,0.0,0.0046589742414653,0.0046599279157817,0.0013026595115661,-0.0061742020770908,0.3678928079502839,0.0013026595115661,-0.0015591513365507,,,,,,,,
Qwen3-8B,46,benign,coordinate_mortality,6,4915200,0.5462440252304077,0.0909139588475227,0.086357831954956,-2.4470534324646,-2.5379674434661865,2303,2.511212789050409,12.319862398011283,577662,6.0834245681762695,0.2183050662279129,0.6856103351712227,2.502714281833032,819200.0,0.0146627631038427,-0.014467236585915,-0.014467236585915,-0.0940814316272735,0.1319328844547271,1.184081792831421,0.833109974861145,0.7035915851593018,0.8414140343666077,0.5141792297363281,0.5141792297363281,0.0291299987584352,0.0,0.0012208601692691,0.0012218138435855,0.0568823218345642,0.1058462373912333,0.1936396890206775,0.0086843371391296,0.0183677673339843,,,,,,,,
Qwen3-8B,46,benign,global_projection,6,4915200,0.4932696223258972,-0.0232471283525228,-0.0179951190948486,-2.141622304916382,-2.118375062942505,2303,2.488186738498248,12.039425689053402,577662,6.563075542449951,0.2355174571275711,0.7656585397571325,2.4881857398644205,819200.0,0.0001265249156858,-2.1827872842550278e-11,1.4551915228366852e-11,-0.0009326603030785,-1.0726741023203701e-10,0.9431145787239076,0.9431142210960388,0.9999996423721312,0.0008796059410087,0.0,0.4994459450244903,0.0171122327446937,1.0,0.0011929832398891,0.0011939369142055,0.0039079189300537,-0.0083148498088121,0.2166657395728384,0.0013026297092438,-0.0014009717851877,,,,,,,,
