model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum,global_projection_activated,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,42,conflict,norm_matched,3,2457600,0.4950065016746521,-0.013721278868615627,-0.009874820709228516,-1.8911727666854858,-1.877451777458191,2303,1.9166642954445798,6.798243673039219,109575,7.75112771987915,0.27815407514572144,0.7617539005726576,1.9115649309617584,819200.0,-0.0018281869124621153,-0.001364261843264103,-0.001364261843264103,0.0025404824409633875,0.002540482208132744,2.354572296142578,1.757070541381836,0.7462376952171326,0.5975016951560974,0.0,0.47720053791999817,0.05855073034763336,0.06037891283631325,0.0,1.7570706605911255,0.7462376952171326,0.47720053791999817,1.1920928955078125e-07,6.784547270892114e-08,0.1144882995140506,1.0
Qwen3-8B,42,conflict,norm_matched,4,3276800,0.4915327727794647,-0.015313373878598213,-0.011713027954101562,-1.8875048160552979,-1.8721915483474731,2303,1.9101205591249215,6.7539029940857205,109575,8.677566528320312,0.311399906873703,0.7617757203429938,1.9061863974922744,819200.0,-0.001110528246499598,-0.0008062139386311173,-0.0008062138804234564,0.0014107299502938986,0.0014107298338785768,2.084897518157959,1.513580083847046,0.72597336769104,0.5713174343109131,0.0,0.48992857336997986,0.06380541622638702,0.06491594761610031,0.0,1.513580083847046,0.72597336769104,0.48992857336997986,0.0,0.0,0.11567530928004999,0.9999999403953552
Qwen3-8B,42,conflict,norm_matched,5,4096000,0.4945722818374634,-0.016550015658140182,-0.010680675506591797,-1.8872994184494019,-1.8707493543624878,2303,1.9056165166285222,6.723551531432747,109575,9.484633445739746,0.340362012386322,0.7619750571250915,1.8955343232006998,819200.0,-0.0005351519212126732,-0.0003820220590569079,-0.000382022000849247,0.0006071554962545633,0.0006071553798392415,1.9185774326324463,1.3695905208587646,0.7138572931289673,0.5489869117736816,0.0,0.49492111802101135,0.06839355826377869,0.06892870366573334,0.0,1.3695905208587646,0.7138572931289673,0.49492111802101135,0.0,0.0,0.11678788121935213,0.9999998807907104
Qwen3-8B,42,conflict,norm_matched,6,4915200,0.49370384216308594,-0.01725381426513195,-0.010776519775390625,-1.8875644207000732,-1.8703105449676514,2303,1.9023833528066536,6.701848291837345,109575,10.186328887939453,0.36554279923439026,0.7624669114500284,1.8889862660889047,819200.0,0.00031999059137888253,0.00022711296333000064,0.00022711286146659404,-0.00033216530573554337,-0.0003321653348393738,1.7911015748977661,1.2712315320968628,0.7097484469413757,0.5198699831962585,0.0,0.49724873900413513,0.07319866120815277,0.07287867367267609,0.0,1.2712315320968628,0.7097484469413757,0.49724873900413513,0.0,0.0,0.11781951525335899,1.0
Qwen3-8B,43,benign,norm_matched,0,0,0.49196699261665344,-0.014989613555371761,-0.013123631477355957,-2.296619176864624,-2.2816295623779297,2303,2.7093566444212835,15.019609456318593,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,43,benign,norm_matched,1,819200,0.49023011326789856,-0.01523835863918066,-0.015163898468017578,-2.2031593322753906,-2.1879210472106934,2303,2.568775735475503,13.049838203276753,577662,2.133049488067627,0.0765635073184967,0.773017520532012,2.578284262328525,819200.0,-0.017098885029554367,-0.013112775050103664,-0.013112775050103664,0.05269266664981842,0.05269267410039902,2.781468391418457,2.133049488067627,0.7668789029121399,0.6484189629554749,0.0,0.4609268307685852,0.04075969383120537,0.057858582586050034,0.0,2.133049488067627,0.7668789029121399,0.4609268307685852,0.0,0.0,0.1093554438702995,1.0
Qwen3-8B,43,benign,norm_matched,2,1638400,0.4915327727794647,-0.017592204734683037,-0.014946937561035156,-2.1774985790252686,-2.1599063873291016,2303,2.529002843912725,12.54099457063623,577662,3.4252853393554688,0.12294691056013107,0.7645569036900998,2.5439740583178354,819200.0,0.00016010813124012202,0.00011948753672186285,0.0001194875076180324,-0.0008571147918701172,-0.0008571146172471344,2.0049126148223877,1.4962517023086548,0.7462927103042603,0.5086609721183777,0.0,0.47916486859321594,0.023367393761873245,0.02320728451013565,0.0,1.4962517023086548,0.7462927103042603,0.47916486859321594,0.0,0.0,0.1099510359345004,0.9999999403953552
Qwen3-8B,43,benign,norm_matched,3,2457600,0.4915327727794647,-0.020533517003059387,-0.009082555770874023,-2.169832229614258,-2.149298667907715,2303,2.5125659927161124,12.33654496587952,577662,4.339852333068848,0.1557743102312088,0.7656870501488448,2.4967630560087857,819200.0,0.0013882187195122242,0.0010054092854261398,0.0010054092854261398,-0.008229684084653854,-0.008229684084653854,1.6424298286437988,1.1895201206207275,0.7242441177368164,0.4529096484184265,0.0,0.4898799955844879,0.01953113079071045,0.018142912536859512,0.0,1.1895201206207275,0.7242441177368164,0.4898799955844879,0.0,0.0,0.11051199569919845,0.9999998807907104
Qwen3-8B,43,benign,norm_matched,4,3276800,0.49196699261665344,-0.021801939234137535,-0.00948786735534668,-2.1633195877075195,-2.1415176391601562,2303,2.503862701610111,12.22964230110293,577662,4.963817119598389,0.178170844912529,0.7670991503447294,2.4986646524971,819200.0,0.0012260685907676816,0.0008689467795193195,0.0008689468377269804,-0.007895190268754959,-0.007895190268754959,1.3370797634124756,0.9476233124732971,0.7087261080741882,0.3894564211368561,0.0,0.4953656494617462,0.01838037744164467,0.017154309898614883,0.0,0.9476233124732971,0.7087261080741882,0.4953656494617462,0.0,0.0,0.11096320700380602,0.9999998807907104
Qwen3-8B,43,benign,norm_matched,5,4096000,0.491098552942276,-0.02317131496965885,-0.01682865619659424,-2.158358335494995,-2.1351869106292725,2303,2.4982403880859394,12.161076348056602,577662,5.445850372314453,0.19547291100025177,0.7681690848618746,2.49433974110143,819200.0,0.00027433078503236175,0.00019415264250710607,0.0001941526134032756,-0.001804800471290946,-0.0018048002384603024,1.16958487033844,0.827752411365509,0.7077317833900452,0.3418324887752533,0.0,0.4951463043689728,0.01801040954887867,0.017736081033945084,0.0,0.8277523517608643,0.7077317833900452,0.4951463043689728,5.960464477539063e-08,7.20078229298831e-08,0.11134959642367903,1.0000001192092896
Qwen3-8B,43,benign,norm_matched,6,4915200,0.4889274835586548,-0.02517116069793701,-0.022290468215942383,-2.1551015377044678,-2.129930257797241,2303,2.4942270523247156,12.112367672966434,577662,5.8500471115112305,0.20998111367225647,0.7685135892778635,2.496104693643574,819200.0,0.0010372373508289456,0.0007320775184780359,0.0007320775184780359,-0.006832418031990528,-0.006832417566329241,1.0815343856811523,0.7633422017097473,0.7057955861091614,0.31819218397140503,0.0,0.4976652264595032,0.01881474256515503,0.01777750439941883,0.0,0.7633422017097473,0.7057955861091614,0.4976652264595032,0.0,0.0,0.11169770843116567,1.0000001192092896
Qwen3-8B,43,conflict,norm_matched,0,0,0.49196699261665344,-0.014989613555371761,-0.013123631477355957,-2.296619176864624,-2.2816295623779297,2303,2.2513215265746207,9.500282419895056,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,43,conflict,norm_matched,1,819200,0.49023011326789856,-0.01488904096186161,-0.009752035140991211,-1.9230777025222778,-1.9081887006759644,2303,1.9473024265673127,7.009752730262087,109575,4.706972122192383,0.16895167529582977,0.773017520532012,1.9615344733760867,819200.0,-0.04139794036746025,-0.03648015111684799,-0.03648015111684799,0.06643112003803253,0.06643111258745193,5.341506004333496,4.706972122192383,0.8812069296836853,0.6345338225364685,0.0,0.35803884267807007,0.05032636225223541,0.09172429889440536,0.0,4.706972122192383,0.8812069296836853,0.35803884267807007,0.0,0.0,0.11131460632168455,0.9999998211860657
Qwen3-8B,43,conflict,norm_matched,2,1638400,0.4945722818374634,-0.015755996108055115,-0.008090496063232422,-1.9021409749984741,-1.8863849639892578,2303,1.9264737716211784,6.865259037821569,109575,6.516448020935059,0.23390085995197296,0.7650214439630508,1.9234537094559345,819200.0,-0.0038480653893202543,-0.0030212290585041046,-0.0030212290585041046,0.0056686969473958015,0.005668697413057089,2.988906145095825,2.346677780151367,0.7851293087005615,0.6422283053398132,0.0,0.45603129267692566,0.05673832446336746,0.060586392879486084,0.0,2.346677780151367,0.7851293087005615,0.45603129267692566,0.0,0.0,0.11305048510985216,0.9999999403953552
Qwen3-8B,43,conflict,norm_matched,3,2457600,0.4945722818374634,-0.015127124264836311,-0.014052391052246094,-1.8918406963348389,-1.876713752746582,2303,1.9165880498205068,6.797725356467704,109575,7.709935665130615,0.27673980593681335,0.7631511501222848,1.906783488466899,819200.0,-0.0022070601116865873,-0.0016600795788690448,-0.0016600796952843666,0.0030938233248889446,0.0030938233248889446,2.3662068843841553,1.7797846794128418,0.752167820930481,0.5864222049713135,0.0,0.47537365555763245,0.058999985456466675,0.06120704486966133,0.0,1.7797846794128418,0.752167820930481,0.47537365555763245,0.0,0.0,0.11441899764395203,1.0
Qwen3-8B,43,conflict,norm_matched,4,3276800,0.4950065016746521,-0.01603425107896328,-0.009079933166503906,-1.889646291732788,-1.8736120462417603,2303,1.910083953070635,6.753655764871144,109575,8.654731750488281,0.3106522262096405,0.7622737079113722,1.8985776574505144,819200.0,-0.00046770594781264663,-0.00033979141153395176,-0.00033979141153395176,0.0005966254393570125,0.0005966256139799953,2.0921452045440674,1.5199567079544067,0.7265062928199768,0.5721883773803711,0.0,0.4861011505126953,0.06470508873462677,0.06517279148101807,0.0,1.5199568271636963,0.7265063524246216,0.4861011505126953,1.1920928955078125e-07,7.842939182241828e-08,0.11562045368555118,1.0
Qwen3-8B,43,conflict,norm_matched,5,4096000,0.491098552942276,-0.017177870497107506,-0.00875091552734375,-1.8879036903381348,-1.8707258701324463,2303,1.9052587155362337,6.721146267679402,109575,9.452781677246094,0.3392973840236664,0.7633680238574744,1.8996792992543488,819200.0,-0.0010949568822979927,-0.0007860364858061075,-0.0007860364858061075,0.0012181508354842663,0.0012181513011455536,1.9297891855239868,1.385336995124817,0.7178695797920227,0.5444520711898804,0.0,0.4924340844154358,0.07168614864349365,0.07278110086917877,0.0,1.3853371143341064,0.7178696393966675,0.4924340844154358,1.1920928955078125e-07,8.60507441238098e-08,0.11672226918744855,1.0000001192092896
Qwen3-8B,43,conflict,norm_matched,6,4915200,0.4932696223258972,-0.01867346465587616,-0.009341716766357422,-1.889022707939148,-1.8703492879867554,2303,1.9020185862146717,6.699404127277841,109575,10.158618927001953,0.36463263630867004,0.7631758076697588,1.8889728781432495,819200.0,0.0002775921020656824,0.00019701672135852277,0.00019701675046235323,-0.0002958007389679551,-0.0002958008262794465,1.791358470916748,1.2713888883590698,0.7097344994544983,0.5199695825576782,0.0,0.49783042073249817,0.07331743836402893,0.07303984463214874,0.0,1.2713888883590698,0.7097344994544983,0.49783042073249817,0.0,0.0,0.11776243084750604,1.0
Qwen3-8B,44,benign,norm_matched,0,0,0.49023011326789856,-0.01417633704841137,-0.017775654792785645,-2.3098390102386475,-2.2956628799438477,2303,2.7102825007719695,15.033521896585311,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,44,benign,norm_matched,1,819200,0.49370384216308594,-0.014372867532074451,-0.015556573867797852,-2.2196969985961914,-2.2053239345550537,2303,2.5691141771296406,13.054255559571018,577662,2.1314263343811035,0.07650478929281235,0.7721591664105654,2.5725836114346747,819200.0,-0.016834978014230728,-0.012890154495835304,-0.012890154495835304,0.05353766307234764,0.05353766679763794,2.78371524810791,2.1314263343811035,0.7656768560409546,0.6522887349128723,0.0,0.4611571431159973,0.03969120606780052,0.05652618780732155,0.0,2.1314265727996826,0.7656769156455994,0.4611571431159973,2.384185791015625e-07,1.1185868757767886e-07,0.10934968921355903,1.0000001192092896
Qwen3-8B,44,benign,norm_matched,2,1638400,0.49196699261665344,-0.017235884442925453,-0.01075291633605957,-2.1915059089660645,-2.174269914627075,2303,2.529231812758802,12.543866396458503,577662,3.4325051307678223,0.12320533394813538,0.7638560333102942,2.5277320740654248,819200.0,-0.00035946641582995653,-0.0002690402034204453,-0.0002690402034204453,0.0019792714156210423,0.001979271648451686,2.0163519382476807,1.509124994277954,0.7484432458877563,0.5072270035743713,0.0,0.4779282510280609,0.02264772169291973,0.023007187992334366,0.0,1.509124994277954,0.7484432458877563,0.4779282510280609,0.0,0.0,0.10994701811068808,1.0000001192092896
Qwen3-8B,44,benign,norm_matched,3,2457600,0.4928354322910309,-0.01961362361907959,-0.012747406959533691,-2.1778953075408936,-2.1582815647125244,2303,2.512531620594093,12.336120939938034,577662,4.35072660446167,0.15616370737552643,0.7646498859673738,2.501989648134331,819200.0,0.0009819859405979514,0.0007187140290625393,0.0007187139708548784,-0.006033644545823336,-0.006033644080162048,1.6388951539993286,1.1995048522949219,0.7318984866142273,0.43939027190208435,0.0,0.48806360363960266,0.01871136762201786,0.01772938296198845,0.0,1.1995048522949219,0.7318984866142273,0.48806360363960266,0.0,0.0,0.1105117944352969,1.0000001192092896
Qwen3-8B,44,benign,norm_matched,4,3276800,0.4950065016746521,-0.02170431613922119,-0.010037660598754883,-2.169039487838745,-2.1473350524902344,2303,2.5038798014534236,12.229851427858057,577662,4.97306489944458,0.17850174009799957,0.7657748752087354,2.4990977344839482,819200.0,0.0008827507845126092,0.0006282547255977988,0.0006282547255977988,-0.0059741525910794735,-0.0059741525910794735,1.3223679065704346,0.9411307573318481,0.7117011547088623,0.3812371492385864,0.0,0.4935247600078583,0.017559174448251724,0.01667642593383789,0.0,0.9411307573318481,0.7117011547088623,0.4935247600078583,0.0,0.0,0.11096318464115029,1.0
Qwen3-8B,44,benign,norm_matched,5,4096000,0.49413806200027466,-0.02242247387766838,-0.006927013397216797,-2.162224769592285,-2.1398022174835205,2303,2.498335378011385,12.162231582659196,577662,5.428832530975342,0.19486092031002045,0.76687141045928,2.5005893207521876,819200.0,0.0006759312236681581,0.00047616916708648205,0.00047616910887882113,-0.00475661363452673,-0.00475661363452673,1.1420818567276,0.8045554161071777,0.7044638991355896,0.3375264108181,0.0,0.498955637216568,0.01743973046541214,0.016763798892498016,0.0,0.8045554161071777,0.7044638991355896,0.498955637216568,0.0,0.0,0.1113267865148373,0.9999999403953552
Qwen3-8B,44,benign,norm_matched,6,4915200,0.49240121245384216,-0.023954758420586586,-0.013863563537597656,-2.162052869796753,-2.1380980014801025,2303,2.4944437207793007,12.114992325280914,577662,5.809872150421143,0.20853784680366516,0.767381699681282,2.4954541700737902,819200.0,0.0011049001477658749,0.0007788902730681002,0.0007788902730681002,-0.007860890589654446,-0.00786089152097702,1.0483602285385132,0.7390328645706177,0.7049417495727539,0.3093273341655731,0.0,0.4997941553592682,0.017703264951705933,0.01659836620092392,0.0,0.7390328645706177,0.7049417495727539,0.4997941553592682,0.0,0.0,0.11165331855954719,1.0
