regime,condition,metric,mean,ci95_lower_exact_bootstrap,ci95_upper_exact_bootstrap,seeds
benign,coordinate_mortality,alignment_accuracy_change,0.06072823916162762,0.058122941425868435,0.06351961834090096,7
benign,coordinate_mortality,alignment_margin_mean_change,0.11028178169258991,0.10662537573703687,0.1135655159928968,7
benign,coordinate_mortality,shift_nll_improvement,0.19707244084544379,0.1957436722895018,0.19819844179958218,7
benign,coordinate_mortality,relative_l2_drift,0.2187198506934302,0.2175512909889221,0.21972599412713728,7
benign,coordinate_mortality,retained_update_norm_ratio,0.701341952596392,0.6988883188792637,0.7039709857531956,7
benign,global_projection,alignment_accuracy_change,0.0016748351710183281,-0.00018608995846338582,0.0034117060048239425,7
benign,global_projection,alignment_margin_mean_change,-0.008219525484102055,-0.009039611555635886,-0.007543499714561828,7
benign,global_projection,shift_nll_improvement,0.22050401090331112,0.2190750902278587,0.22159862571753194,7
benign,global_projection,relative_l2_drift,0.23674747347831723,0.23602076087679177,0.23745315202644893,7
benign,global_projection,retained_update_norm_ratio,0.9999909656388419,0.9999832000051226,0.9999971049172538,7
benign,norm_matched,alignment_accuracy_change,0.0016128037657056615,-0.0004962469850267524,0.0034737331526620446,7
benign,norm_matched,alignment_margin_mean_change,-0.009602445576872143,-0.010388527065515515,-0.008907623722084913,7
benign,norm_matched,shift_nll_improvement,0.2146952555934217,0.2133156811461239,0.2157497161452575,7
benign,norm_matched,relative_l2_drift,0.20952706890446793,0.20875119524342667,0.21041475662163323,7
benign,norm_matched,retained_update_norm_ratio,0.7060204318591526,0.7032291804041181,0.7084172197750637,7
benign,unconstrained,alignment_accuracy_change,-0.000806404011590143,-0.0030395175729479138,0.0013026424816676141,7
benign,unconstrained,alignment_margin_mean_change,-0.011207490627254712,-0.012139418827635858,-0.01054769781018997,7
benign,unconstrained,shift_nll_improvement,0.2204901170542078,0.21906927210307597,0.22157218562367068,7
benign,unconstrained,relative_l2_drift,0.23665536088602884,0.2360003569296428,0.2372076149497713,7
benign,unconstrained,retained_update_norm_ratio,1.0,1.0,1.0,7
conflict,coordinate_mortality,alignment_accuracy_change,0.04224303364753722,0.022393149988991858,0.06662115454673766,7
conflict,coordinate_mortality,alignment_margin_mean_change,0.07777442663375808,0.03775317514581327,0.12692704517394293,7
conflict,coordinate_mortality,shift_nll_improvement,-0.05936450842248162,-0.49184911764024364,0.2577345446515146,7
conflict,coordinate_mortality,relative_l2_drift,0.33845607723508564,0.3365259383405958,0.34058486989566256,7
conflict,coordinate_mortality,retained_update_norm_ratio,0.689164936542511,0.6574435915265765,0.7212420787130084,7
conflict,global_projection,alignment_accuracy_change,0.002419207777295786,0.0006202970232282287,0.0040940429483141,7
conflict,global_projection,alignment_margin_mean_change,-0.004368775391152914,-0.004697644950023699,-0.0040137091917650854,7
conflict,global_projection,shift_nll_improvement,0.36419142186239534,0.35988778284376927,0.36745259951000303,7
conflict,global_projection,relative_l2_drift,0.4085839475904192,0.407961300441197,0.40944235239710125,7
conflict,global_projection,retained_update_norm_ratio,0.999999633857182,0.9999991740499224,0.9999999829701015,7
conflict,norm_matched,alignment_accuracy_change,0.0029774819101606176,0.0015507723603929871,0.004404191459928232,7
conflict,norm_matched,alignment_margin_mean_change,-0.0038216361509902136,-0.004284994410617028,-0.0032967764085956855,7
conflict,norm_matched,shift_nll_improvement,0.3608808551734991,0.35660344959459334,0.3640982431551185,7
conflict,norm_matched,relative_l2_drift,0.36522199852125986,0.36491136040006367,0.36554023197719027,7
conflict,norm_matched,retained_update_norm_ratio,0.7081438643591744,0.7044809630938939,0.7120403391974313,7
conflict,unconstrained,alignment_accuracy_change,0.0027913962091718,0.000496251242501343,0.0049004384449549574,7
conflict,unconstrained,alignment_margin_mean_change,-0.0047827586531638865,-0.005448185572666799,-0.004139509318130299,7
conflict,unconstrained,shift_nll_improvement,0.36419425469256705,0.35982426856324956,0.3674299180096189,7
conflict,unconstrained,relative_l2_drift,0.40866246819496155,0.4080415964126587,0.4095081686973572,7
conflict,unconstrained,retained_update_norm_ratio,1.0,1.0,1.0,7
