model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change,negative_coordinate_risk_abs_sum,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,42,benign,global_projection,3,2457600,0.4937038421630859,-0.0183633286505937,-0.0122861862182617,-2.156416654586792,-2.1380531787872314,2303,2.5035206557181144,12.225459917517586,577662,5.076494216918945,0.1821731775999069,0.7634554225951433,2.5049013497954,819200.0,0.0008193130488507,-5.820766091346741e-11,-5.820766091346741e-11,-0.0057499869726598,4.085115024032859e-10,1.3509138822555542,1.3508915901184082,0.9999834895133972,0.0077677378430962,0.0,0.4947546422481537,0.0172244124114513,1.0,0.0008168286876752,0.0008177823619917,0.003907948732376,-0.0046197371557354,0.2044611951117176,0.0008684098720549,-0.0009502787142991,,,,,,,,
Qwen3-8B,42,benign,global_projection,4,3276800,0.4924012124538421,-0.0191753208637237,-0.0130536556243896,-2.145991563796997,-2.1268160343170166,2303,2.496449151182374,12.139312477258322,577662,5.656752109527588,0.202996090054512,0.7640650799125432,2.492936937745835,819200.0,0.0009551105322316,3.637978807091713e-11,6.184563972055912e-11,-0.0071112685836851,-4.6048298507628255e-10,1.1198230981826782,1.1197947263717651,0.9999746680259703,0.0079633630812168,0.0,0.4992938041687011,0.0170209687203168,1.0,0.0009735708590596,0.000974524533376,0.0026053190231323,-0.0054317293688654,0.2115326996474582,-0.0013026297092437,-0.00081199221313,,,,,,,,
Qwen3-8B,42,benign,global_projection,5,4096000,0.4915327727794647,-0.01959740370512,-0.0115528106689453,-2.138877868652344,-2.1192805767059326,2303,2.4914767010163383,12.079100176311826,577662,6.182204723358154,0.2218522876501083,0.7642555240541696,2.483264919897483,819200.0,0.0004474087618291,2.1827872842550278e-11,1.0913936421275139e-11,-0.003330078208819,-8.123324235498329e-11,1.0617287158966064,1.0617228746414185,0.9999945163726808,0.0035356397274881,0.0,0.4979005753993988,0.0165033861994743,1.0,0.0010473267175257,0.0010482803918421,0.0017368793487549,-0.0058538122102617,0.2165051498134937,-0.0008684396743773,-0.0004220828413963,,,,,,,,
Qwen3-8B,42,benign,global_projection,6,4915200,0.4906643331050873,-0.0210605058819055,-0.0186110734939575,-2.1367204189300537,-2.1156599521636963,2303,2.487981009547971,12.036949085407722,577662,6.601690769195557,0.236905813217163,0.7643505921959877,2.4706359201166195,819200.0,0.0007269873749464,2.9103830456733704e-11,3.637978807091713e-11,-0.0054893959313631,-2.7470362096160267e-10,0.9777180552482604,0.9777032732963562,0.999984860420227,0.0053670816123485,0.0,0.4999262690544128,0.0166693106293678,1.0,0.0011307446984574,0.0011316983727738,0.0008684396743774,-0.0073169143870472,0.2200008412818612,-0.0008684396743774,-0.0014631021767855,,,,,,,,
Qwen3-8B,42,benign,unconstrained,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.707981850829832,14.99897478095173,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,42,benign,unconstrained,1,819200,0.4924012124538421,-0.0151985315605998,-0.0123904943466186,-2.215837955474853,-2.200639486312866,2303,2.548255487340564,12.784781104741842,577662,2.7802467346191406,0.0997708961367607,0.7698720064014196,2.5790710026258603,819200.0,-0.0160271376371383,-0.0160271376371383,-0.0160271376371383,0.0539491586387157,0.0539491586387157,2.7802467346191406,2.7802467346191406,1.0,0.0,0.0,0.459559679031372,0.0366577804088592,0.0,0.001106034964323,0.0011069886386394,0.0026053190231323,-0.0014549400657415,0.159726363489268,0.0026053190231323,-0.0014549400657415,,,,,,,,
Qwen3-8B,42,benign,unconstrained,2,1638400,0.4906643331050873,-0.0189425852149724,-0.0157157182693481,-2.1815617084503174,-2.162619113922119,2303,2.5163504086570088,12.383320035638528,577662,4.198931694030762,0.1506813019514084,0.7620565479248762,2.508710505188501,819200.0,0.0015584781067445,0.0015584781067445,0.0015584781067445,-0.0095787355676293,-0.0095787355676293,1.84075129032135,1.84075129032135,1.0,0.0,0.0,0.4901435673236847,0.0208521261811256,0.0,0.000669274944812,0.0006702286191284,0.0008684396743774,-0.0051989937201141,0.1916314421728233,-0.0017368793487548,-0.0037440536543725,,,,,,,,
Qwen3-8B,42,benign,unconstrained,3,2457600,0.4928354322910309,-0.0207591746002435,-0.0172595977783203,-2.161261320114136,-2.140501976013184,2303,2.503308551729861,12.222867123691524,577662,5.084445953369141,0.1824585348367691,0.765264586135745,2.5048485430455183,819200.0,0.0003463803441263,0.0003463803441263,0.0003463803441263,-0.0023511117324233,-0.0023511117324233,1.354651689529419,1.354651689529419,1.0,0.0,0.0,0.4943870604038238,0.0174909587949514,0.0,0.0008333143778145,0.0008342680521309,0.0030395388603211,-0.0070155831053852,0.2046732990999711,0.0021710991859436,-0.0018165893852711,,,,,,,,
Qwen3-8B,42,benign,unconstrained,4,3276800,0.4928354322910309,-0.0214174762368202,-0.0136241912841796,-2.1511166095733643,-2.129699230194092,2303,2.4963956150639346,12.138662602983796,577662,5.659948825836182,0.2031108140945434,0.7662711429595948,2.4929237229531283,819200.0,0.0005065406439825,0.0005065406439825,0.0005065406439825,-0.0036424805875867,-0.0036424805875867,1.118396878242493,1.118396878242493,1.0,0.0,0.0,0.4985279440879822,0.0173007771372795,0.0,0.0009956122376024,0.0009965659119188,0.0030395388603211,-0.0076738847419619,0.2115862357658975,0.0,-0.0006583016365767,,,,,,,,
Qwen3-8B,42,benign,unconstrained,5,4096000,0.4919669926166534,-0.0220834091305732,-0.0130524635314941,-2.144661664962769,-2.1225779056549072,2303,2.4913603274114013,12.077694569669257,577662,6.188277244567871,0.2220702022314071,0.7669107158482075,2.4831820679729573,819200.0,-2.8131151339039207e-05,-2.8131151339039207e-05,-2.8131151339039207e-05,0.0001982952671824,0.0001982952671824,1.0634260177612305,1.0634260177612305,1.0,0.0,0.0,0.4978971183300018,0.0170409437268972,0.0,0.0010806377977132,0.0010815914720296,0.0021710991859436,-0.0083398176357149,0.2166215234184307,-0.0008684396743774,-0.0006659328937529,,,,,,,,
Qwen3-8B,42,benign,unconstrained,6,4915200,0.4902301132678985,-0.0240915101021528,-0.0149877071380615,-2.143256187438965,-2.11916446685791,2303,2.487993218650136,12.037096046645994,577662,6.605071067810059,0.237027108669281,0.7670850555598736,2.4706540194700937,819200.0,0.0004059782950207,0.0004059782950207,0.0004059782950207,-0.0029062670655548,-0.0029062670655548,0.9761887192726136,0.9761887192726136,1.0,0.0,0.0,0.4993346929550171,0.017336681485176,0.0,0.0011729365214705,0.0011738901957869,0.0004342198371887,-0.0103479186072946,0.219988632179696,-0.0017368793487548,-0.0020081009715796,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.263833523610398,9.619896671488302,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,1,819200,0.5071645379066467,0.0141112022101879,0.0101690292358398,-2.028557300567627,-2.042668581008911,2303,2.084083741849725,8.037223934989749,109575,4.757549285888672,0.1707276403903961,0.7698720064014196,1.9663887934696689,819200.0,-0.0389502272009849,-0.0840324237942695,-0.0840324237942695,0.0680299773812294,0.1653010696172714,5.358234882354736,4.757549285888672,0.887894868850708,2.465035915374756,0.3551031947135925,0.3551031947135925,0.0450821965932846,0.0,0.0011379467323422,0.0011389004066586,0.0173686444759369,0.0278547937050461,0.1797497817606732,0.0173686444759369,0.0278547937050461,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,2,1638400,0.5254016518592834,0.0540854893624782,0.0422433614730834,-2.036284208297729,-2.090369462966919,2303,2.115954291282548,8.297500221298934,109575,6.329983234405518,0.2271554172039032,0.7290963332355023,1.9381063008779893,819200.0,0.0071784891188144,-0.0324115306138992,-0.0324115306138992,-0.0196028742939233,0.1218717396259307,3.295769691467285,2.3935368061065674,0.7262451648712158,2.265630006790161,0.494633287191391,0.494633287191391,0.0395900197327137,0.0,0.0007529602735303,0.0007539139478467,0.0356057584285736,0.0678290808573364,0.1478792323278499,0.0182371139526367,0.0399742871522903,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,3,2457600,0.5366912484169006,0.0615441091358661,0.0527827739715576,-2.1047635078430176,-2.1663076877593994,2303,2.2369586294436603,9.364806086080996,109575,7.6101393699646,0.2730946242809295,0.7055603823065758,1.9251035198041064,819200.0,0.0245684944093227,-0.0303274188190698,-0.0303274188190698,-0.0581652708351612,0.097856119275093,2.707006931304932,1.9861958026885984,0.7337239384651184,1.839269638061524,0.4971223175525665,0.4971223175525665,0.0548959150910377,0.0,0.0011677315924316,0.001168685266748,0.0468953549861908,0.0752877006307243,0.0268748941667378,0.0112895965576171,0.0074586197733879,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,4,3276800,0.570125937461853,0.1870106011629104,0.1620762348175048,-2.807119369506836,-2.9941298961639404,2303,3.2266136698251766,25.194196486128465,109575,8.32631778717041,0.2987951338291168,0.6910466470569372,1.923668230764452,819200.0,0.0564393997192382,-0.0270358137786388,-0.0270358137786388,-0.0990256890654563,0.0770178139209747,2.3163740634918213,1.426666259765625,0.6159049272537231,1.824886918067932,0.5746201276779175,0.5746201276779175,0.0834752097725868,0.0,0.0017691836692392,0.0017701373435556,0.0803300440311432,0.2007541926577686,-0.9627801462147784,0.0334346890449523,0.1254664920270443,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,5,4096000,0.521493673324585,0.03044936619699,0.0233387947082519,-1.953089594841004,-1.9835387468338013,2303,1.9966451201285509,7.364308239614755,109575,8.974839210510254,0.3220677375793457,0.6659415592253208,1.926065642144531,819200.0,0.0131306312978267,-0.059099867939949,-0.059099867939949,-0.0190147403627634,0.1274599432945251,2.284542798995972,1.5339698791503906,0.671455979347229,1.6929478645324707,0.514302134513855,0.514302134513855,0.0722305029630661,0.0,0.0020538596436381,0.0020548133179545,0.0316977798938751,0.0441929576918482,0.2671884034818472,-0.048632264137268,-0.1565612349659204,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,6,4915200,0.5358228087425232,0.0706182047724723,0.0570049285888671,-2.166577100753784,-2.2371952533721924,2303,2.2839642343732174,9.815514384697114,109575,9.565267562866213,0.3432556092739105,0.7081577310711146,1.9048016592438213,819200.0,0.0300376862287521,-0.0553256422281265,-0.0553256422281265,-0.039618857204914,0.1079279854893684,2.0856587886810303,1.4101688861846924,0.6761263608932495,1.536683440208435,0.5348404049873352,0.5348404049873352,0.0853633284568786,0.0,0.0024549318477511,0.0024558855220675,0.0460269153118134,0.0843617962673305,-0.0201307107628192,0.0143291354179382,0.0401688385754823,,,,,,,,
Qwen3-8B,42,conflict,global_projection,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.263833523610398,9.619896671488302,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,42,conflict,global_projection,1,819200,0.4967433512210846,-0.0173089820891618,-0.0072779655456542,-1.919599533081055,-1.90229070186615,2303,1.939682337007864,6.95654078404824,109575,5.358234882354736,0.1922836154699325,0.7698720064014196,1.9663887934696689,819200.0,-0.0389502272009849,-0.0389502272009849,-0.0389502272009849,0.0680299773812294,0.0680299773812294,5.358234882354736,5.358234882354736,1.0,0.0,0.0,0.3551031947135925,0.0450821965932846,0.0,0.0011907160514965,0.0011916697258129,0.0069474577903748,-0.0035653905943035,0.3241511866025341,0.0069474577903748,-0.0035653905943035,,,,,,,,
Qwen3-8B,42,conflict,global_projection,2,1638400,0.4993486702442169,-0.0129322754219174,-0.0039300918579101,-1.8971911668777464,-1.88425886631012,2303,1.922151623081188,6.8356504010508345,109575,7.176241397857666,0.2575239241123199,0.7656573140621186,1.9260461004705576,819200.0,-0.0055774645879864,-0.0055774645879864,-0.0055774645879864,0.0080993007868528,0.0080993007868528,2.652135372161865,2.652135372161865,1.0,0.0,0.0,0.465204507112503,0.0595482736825943,0.0,0.0018949883524328,0.0018959420267492,0.0095527768135071,0.0008113160729408,0.3416819005292104,0.0026053190231323,0.0043767066672444,,,,,,,,
Qwen3-8B,42,conflict,global_projection,3,2457600,0.4928354322910309,-0.0151719469577074,-0.0095374584197998,-1.892085075378418,-1.8769131898880005,2303,1.9120058210522188,6.766647880210583,109575,8.489534378051758,0.3046522736549377,0.7620150316506624,1.9084908992843703,819200.0,-0.0018502547172829,-0.0018502547172829,-0.0018502547172829,0.0026108555030077,0.0026108555030077,2.1596450805664062,2.1596450805664062,1.0,0.0,0.0,0.4850836992263794,0.0598893426358699,0.0,0.002419862197712,0.0024208158720284,0.0030395388603211,-0.0014283554628491,0.3518277025581793,-0.006513237953186,-0.0022396715357899,,,,,,,,
Qwen3-8B,42,conflict,global_projection,4,3276800,0.4924012124538421,-0.016566127538681,-0.0137751102447509,-1.889265298843384,-1.8726991415023804,2303,1.9058463881447136,6.725097262070387,109575,9.563703536987305,0.3431994915008545,0.7628406503051519,1.901761473118968,819200.0,-0.0010907123796641,-0.0010907123796641,-0.0010907123796641,0.0013411191757768,0.0013411191757768,1.909831523895264,1.909831523895264,1.0,0.0,0.0,0.4961619973182678,0.0670939683914184,0.0,0.0032233693636953,0.0032243230380117,0.0026053190231323,-0.0028225360438227,0.3579871354656845,-0.0004342198371887,-0.0013941805809735,,,,,,,,
Qwen3-8B,42,conflict,global_projection,5,4096000,0.4941380620002746,-0.0180293973535299,-0.0140036344528198,-1.8893897533416748,-1.871360421180725,2303,1.9017769348993985,6.697785403050232,109575,10.519386291503906,0.3774947822093963,0.7630359216034412,1.890318929471396,819200.0,-0.0003399245324544,-0.0003399245324544,-0.0003399245324544,0.00036288483534,0.00036288483534,1.7632150650024414,1.7632150650024414,1.0,0.0,0.0,0.5008474588394165,0.0723055079579353,0.0,0.0040809959173202,0.0040819495916366,0.0043421685695648,-0.0042858058586716,0.3620565887109996,0.0017368495464324,-0.0014632698148488,,,,,,,,
Qwen3-8B,42,conflict,global_projection,6,4915200,0.4924012124538421,-0.0178980119526386,-0.0095493793487548,-1.8882904052734373,-1.8703923225402832,2303,1.8989127637587693,6.678629245744741,109575,11.392393112182615,0.408823162317276,0.7634614408016205,1.882816568792623,819200.0,-2.771831350401044e-05,-2.771831350401044e-05,-2.771831350401044e-05,2.7975949706160463e-05,2.7975949706160463e-05,1.6871789693832395,1.6871789693832395,1.0,0.0,0.0,0.4985151588916778,0.0751795098185539,0.0,0.0046449648216366,0.004645918495953,0.0026053190231323,-0.0041544204577803,0.3649207598516286,-0.0017368495464324,0.0001313854008913,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.263833523610398,9.619896671488302,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,1,819200,0.4967433512210846,-0.0173089820891618,-0.0072779655456542,-1.919599533081055,-1.90229070186615,2303,1.939682337007864,6.95654078404824,109575,5.358234882354736,0.1922836154699325,0.7698720064014196,1.9663887934696689,819200.0,-0.0389502272009849,-0.0389502272009849,-0.0389502272009849,0.0680299773812294,0.0680299773812294,5.358234882354736,5.358234882354736,1.0,0.0,0.0,0.3551031947135925,0.0450821965932846,0.0,0.0011907160514965,0.0011916697258129,0.0069474577903748,-0.0035653905943035,0.3241511866025341,0.0069474577903748,-0.0035653905943035,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,2,1638400,0.4993486702442169,-0.0129322754219174,-0.0039300918579101,-1.8971911668777464,-1.88425886631012,2303,1.922151623081188,6.8356504010508345,109575,7.176241397857666,0.2575239241123199,0.7656573140621186,1.9260461004705576,819200.0,-0.0055774645879864,-0.0055774645879864,-0.0055774645879864,0.0080993007868528,0.0080993007868528,2.652135372161865,2.652135372161865,1.0,0.0,0.0,0.465204507112503,0.0595482736825943,0.0,0.0018949883524328,0.0018959420267492,0.0095527768135071,0.0008113160729408,0.3416819005292104,0.0026053190231323,0.0043767066672444,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,3,2457600,0.4928354322910309,-0.0151719469577074,-0.0095374584197998,-1.892085075378418,-1.8769131898880005,2303,1.9120058210522188,6.766647880210583,109575,8.489534378051758,0.3046522736549377,0.7620150316506624,1.9084908992843703,819200.0,-0.0018502547172829,-0.0018502547172829,-0.0018502547172829,0.0026108555030077,0.0026108555030077,2.1596450805664062,2.1596450805664062,1.0,0.0,0.0,0.4850836992263794,0.0598893426358699,0.0,0.002419862197712,0.0024208158720284,0.0030395388603211,-0.0014283554628491,0.3518277025581793,-0.006513237953186,-0.0022396715357899,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,4,3276800,0.4924012124538421,-0.016566127538681,-0.0137751102447509,-1.889265298843384,-1.8726991415023804,2303,1.9058463881447136,6.725097262070387,109575,9.563703536987305,0.3431994915008545,0.7628406503051519,1.901761473118968,819200.0,-0.0010907123796641,-0.0010907123796641,-0.0010907123796641,0.0013411191757768,0.0013411191757768,1.909831523895264,1.909831523895264,1.0,0.0,0.0,0.4961619973182678,0.0670939683914184,0.0,0.0032233693636953,0.0032243230380117,0.0026053190231323,-0.0028225360438227,0.3579871354656845,-0.0004342198371887,-0.0013941805809735,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,5,4096000,0.4941380620002746,-0.0180293973535299,-0.0140036344528198,-1.8893897533416748,-1.871360421180725,2303,1.9017769348993985,6.697785403050232,109575,10.519386291503906,0.3774947822093963,0.7630359216034412,1.890318929471396,819200.0,-0.0003399245324544,-0.0003399245324544,-0.0003399245324544,0.00036288483534,0.00036288483534,1.7632150650024414,1.7632150650024414,1.0,0.0,0.0,0.5008474588394165,0.0723055079579353,0.0,0.0040809959173202,0.0040819495916366,0.0043421685695648,-0.0042858058586716,0.3620565887109996,0.0017368495464324,-0.0014632698148488,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,6,4915200,0.4924012124538421,-0.0178980119526386,-0.0095493793487548,-1.8882904052734373,-1.8703923225402832,2303,1.8989127637587693,6.678629245744741,109575,11.392393112182615,0.408823162317276,0.7634614408016205,1.882816568792623,819200.0,-2.771831350401044e-05,-2.771831350401044e-05,-2.771831350401044e-05,2.7975949706160463e-05,2.7975949706160463e-05,1.6871789693832395,1.6871789693832395,1.0,0.0,0.0,0.4985151588916778,0.0751795098185539,0.0,0.0046449648216366,0.004645918495953,0.0026053190231323,-0.0041544204577803,0.3649207598516286,-0.0017368495464324,0.0001313854008913,,,,,,,,
Qwen3-8B,43,benign,coordinate_mortality,0,0,0.4919669926166534,-0.0149896135553717,-0.0131236314773559,-2.296619176864624,-2.2816295623779297,2303,2.7093566444212835,15.019609456318593,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,43,benign,coordinate_mortality,1,819200,0.4967433512210846,-0.0071771894581615,-0.0062246322631835,-2.250672578811645,-2.2434957027435303,2303,2.5877474241668352,13.299779074725295,577662,2.133049488067627,0.0765635073184967,0.773017520532012,2.578284262328525,819200.0,-0.0170988850295543,-0.0578585788607597,-0.0578585788607597,0.0526926666498184,0.2325002253055572,2.781468391418457,2.133049488067627,0.7668789029121399,1.785123586654663,0.4609268307685852,0.4609268307685852,0.0407596938312053,0.0,0.0012107170186936,0.00121167069301,0.0047763586044312,0.0078124240972102,0.1216092202544483,0.0047763586044312,0.0078124240972102,,,,,,,,
Qwen3-8B,43,benign,coordinate_mortality,2,1638400,0.5128093361854553,0.0176045875996351,0.022411823272705,-2.180941581726074,-2.1985464096069336,2303,2.548149456478226,12.783425595240692,577662,3.2202281951904297,0.1155866086483001,0.7444420560449362,2.550793227937247,819200.0,0.001599944778718,-0.0224005840718746,-0.0224005840718746,-0.0089257135987281,0.1706485152244568,2.125761270523072,1.556715488433838,0.7323096394538879,1.4475833177566528,0.4826770722866058,0.4826770722866058,0.0240005254745483,0.0,0.0005561331636272,0.0005570868379436,0.0208423435688019,0.0325942011550068,0.1612071879430576,0.0160659849643707,0.0247817770577966,,,,,,,,
