model,regime,condition,metric,mean,ci95_lower_exact_bootstrap,ci95_upper_exact_bootstrap,seeds,inference_role
Qwen3-8B,conflict,coordinate_mortality,retained_update_norm_ratio,0.689164936542511,0.6574435915265765,0.7212420787130084,7,primary
Qwen3-8B,conflict,global_projection,alignment_accuracy_change,0.0024192077772958176,0.0006202970232282525,0.004094042948314137,7,primary
Qwen3-8B,conflict,global_projection,alignment_margin_mean_change,-0.0043687753911529435,-0.004697644950023714,-0.004013709191765115,7,primary
Qwen3-8B,conflict,global_projection,shift_nll_improvement,0.36419142186239534,0.35988778284376927,0.36745259951000303,7,primary
Qwen3-8B,conflict,global_projection,relative_l2_drift,0.4085839475904192,0.407961300441197,0.40944235239710125,7,primary
Qwen3-8B,conflict,global_projection,retained_update_norm_ratio,0.999999633857182,0.9999991740499224,0.9999999829701015,7,primary
Qwen3-8B,conflict,unconstrained,alignment_accuracy_change,0.0027913962091718402,0.0004962512425013634,0.004900438444955032,7,primary
Qwen3-8B,conflict,unconstrained,alignment_margin_mean_change,-0.004782758653163929,-0.0054481855726668015,-0.00413950931813037,7,primary
Qwen3-8B,conflict,unconstrained,shift_nll_improvement,0.36419425469256705,0.35982426856324967,0.36742991800961894,7,primary
Qwen3-8B,conflict,unconstrained,relative_l2_drift,0.40866246819496155,0.4080415964126587,0.4095081686973572,7,primary
Qwen3-8B,conflict,unconstrained,retained_update_norm_ratio,1.0,1.0,1.0,7,primary
