id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-14B,42,conflict,unconstrained,6,final,5,0.0,0.0,0.018550893291831017,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,0.0,-0.004823589697480202,0.0
test:1068,Qwen3-14B,42,conflict,unconstrained,6,final,15,0.0,0.0,0.04208176210522652,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,0.0,-0.00039928779006004333,0.0
test:913,Qwen3-14B,42,conflict,unconstrained,6,final,20,0.0,0.0,0.012569333426654339,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,0.0,-0.004135011695325375,-0.004180154763162136
test:1076,Qwen3-14B,42,conflict,unconstrained,6,final,21,0.0,0.0,0.010970944538712502,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,0.0,-0.014853060245513916,-0.026269076392054558
test:563,Qwen3-14B,42,conflict,unconstrained,6,final,31,0.0,0.0,0.0080770468339324,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-0.01828648429363966,-0.007989377714693546
test:463,Qwen3-14B,42,conflict,unconstrained,6,final,29,0.0,0.0,0.016670648008584976,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.0028154291212558746,-0.005155380815267563
test:1684,Qwen3-14B,42,conflict,unconstrained,6,final,30,0.0,0.0,0.023580536246299744,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,0.0,-0.010445505380630493,-0.012546423822641373
test:2243,Qwen3-14B,42,conflict,unconstrained,6,final,30,0.0,0.0,0.02197905443608761,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,0.0,-0.02032243274152279,-0.02778874896466732
test:1507,Qwen3-14B,42,conflict,unconstrained,6,final,24,0.0,0.0,0.038365501910448074,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,0.0,-0.008097834885120392,-0.023539550602436066
test:797,Qwen3-14B,42,conflict,unconstrained,6,final,20,0.0,0.0,0.041549570858478546,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,1.0,0.012741601094603539,0.01164279319345951
test:991,Qwen3-14B,42,conflict,unconstrained,6,final,34,0.0,0.0,0.02258267067372799,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,0.0,-0.009344136342406273,-0.008329058066010475
test:109,Qwen3-14B,42,conflict,unconstrained,6,final,38,0.0,0.0,0.004227921366691589,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,0.0,-0.013099305331707,-0.025335190817713737
test:1456,Qwen3-14B,42,conflict,unconstrained,6,final,15,0.0,0.0,0.0406775176525116,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,1.0,0.004997037351131439,0.0
test:1171,Qwen3-14B,42,conflict,unconstrained,6,final,33,0.0,0.0,0.010120714083313942,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.022715682163834572,-0.016871456056833267
test:1045,Qwen3-14B,42,conflict,unconstrained,6,final,38,0.0,0.0,0.01634719967842102,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.00018199346959590912,-0.02481575682759285
test:897,Qwen3-14B,42,conflict,unconstrained,6,final,28,0.0,0.0,0.03235073387622833,0.03125502169132233,0.03049316257238388,0.0,0.0,1.0,0.0,1.0,0.001857571303844452,0.0010957121849060059
test:427,Qwen3-14B,42,conflict,unconstrained,6,final,32,0.0,0.0,0.035721100866794586,0.030951503664255142,0.03279354050755501,0.0,0.0,0.0,0.0,1.0,0.0029275603592395782,0.004769597202539444
test:536,Qwen3-14B,42,conflict,unconstrained,6,final,35,0.0,0.0,0.011392517946660519,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,0.0,-0.012733194045722485,-0.0289088087156415
test:1556,Qwen3-14B,42,conflict,unconstrained,6,final,19,0.0,0.0,0.03200574591755867,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,1.0,0.0003774389624595642,0.010114816948771477
test:1638,Qwen3-14B,42,conflict,unconstrained,6,final,36,0.0,0.0,0.04242010787129402,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,1.0,0.016699863597750664,0.013851333409547806
test:481,Qwen3-14B,42,conflict,unconstrained,6,final,35,0.0,0.0,0.0036102510057389736,0.030039548873901367,0.036054398864507675,0.0,0.0,0.0,0.0,0.0,-0.0324441478587687,-0.026429297868162394
test:640,Qwen3-14B,42,conflict,unconstrained,6,final,30,0.0,0.0,0.03261830285191536,0.03218264877796173,0.02387271448969841,0.0,0.0,1.0,0.0,1.0,0.00874558836221695,0.00043565407395362854
test:903,Qwen3-14B,42,conflict,unconstrained,6,final,32,0.0,0.0,0.02788778953254223,0.026822740212082863,0.03154570981860161,0.0,0.0,0.0,0.0,0.0,-0.0036579202860593796,0.0010650493204593658
test:466,Qwen3-14B,42,conflict,unconstrained,6,final,30,0.0,0.0,0.023424768820405006,0.03662761300802231,0.03060600347816944,0.0,0.0,1.0,0.0,0.0,-0.007181234657764435,-0.013202844187617302
test:787,Qwen3-14B,42,conflict,unconstrained,6,final,30,0.0,0.0,0.04041331633925438,0.03477362170815468,0.022873124107718468,0.0,0.0,1.0,0.0,1.0,0.01754019223153591,0.005639694631099701
test:63,Qwen3-14B,42,conflict,unconstrained,6,final,27,0.0,0.0,0.04038967937231064,0.047407366335392,0.02268475852906704,0.0,0.0,1.0,0.0,1.0,0.0177049208432436,-0.00701768696308136
test:1639,Qwen3-14B,42,conflict,unconstrained,6,final,42,0.0,0.0,0.010936342179775238,0.012345847673714161,0.01274794526398182,0.0,0.0,0.0,0.0,0.0,-0.0018116030842065811,-0.0014095054939389229
test:2265,Qwen3-14B,42,conflict,unconstrained,6,final,27,0.0,0.0,0.013257241807878017,0.018142802640795708,0.02050267904996872,0.0,0.0,0.0,0.0,0.0,-0.007245437242090702,-0.00488556083291769
test:1745,Qwen3-14B,42,conflict,unconstrained,6,final,52,0.0,0.0,0.02300161123275757,0.036397114396095276,0.036690980195999146,0.0,0.0,0.0,0.0,0.0,-0.013689368963241577,-0.013395503163337708
test:9,Qwen3-14B,42,conflict,unconstrained,6,final,46,0.0,0.0,0.01852758787572384,0.08137275278568268,0.06592001020908356,0.0,0.0,1.0,0.0,0.0,-0.04739242233335972,-0.06284516490995884
test:1279,Qwen3-14B,42,conflict,unconstrained,6,final,41,0.0,0.0,0.04008183255791664,0.03613991662859917,0.03790043666958809,0.0,0.0,0.0,0.0,1.0,0.0021813958883285522,0.003941915929317474
test:576,Qwen3-14B,42,conflict,unconstrained,6,final,34,0.0,0.0,0.035526495426893234,0.057423077523708344,0.04822539538145065,0.0,0.0,1.0,0.0,0.0,-0.012698899954557419,-0.02189658209681511
test:2207,Qwen3-14B,42,conflict,unconstrained,6,final,53,0.0,0.0,0.024891579523682594,0.04054011404514313,0.038929570466279984,0.0,0.0,1.0,0.0,0.0,-0.01403799094259739,-0.015648534521460533
test:2168,Qwen3-14B,42,conflict,unconstrained,6,final,11,0.0,0.0,0.0495983250439167,0.049067962914705276,0.02239176258444786,0.0,0.0,1.0,0.0,1.0,0.02720656245946884,0.0005303621292114258
test:805,Qwen3-14B,42,conflict,unconstrained,6,final,25,0.0,0.0,0.007429146207869053,0.07015776634216309,0.03743727505207062,0.0,0.0,1.0,0.0,0.0,-0.030008128844201565,-0.06272862013429403
test:1197,Qwen3-14B,42,conflict,unconstrained,6,final,30,0.0,0.0,0.02309488318860531,0.023731593042612076,0.021593812853097916,0.0,0.0,1.0,0.0,1.0,0.0015010703355073929,-0.0006367098540067673
test:364,Qwen3-14B,42,conflict,unconstrained,6,final,15,0.0,0.0,0.04962901026010513,0.031096089631319046,0.04715454950928688,0.0,0.0,0.0,0.0,1.0,0.0024744607508182526,0.018532920628786087
test:1644,Qwen3-14B,42,conflict,unconstrained,6,final,76,0.0,0.0,0.01955512724816799,0.03148322552442551,0.03970971331000328,0.0,0.0,0.0,0.0,0.0,-0.02015458606183529,-0.011928098276257515
test:91,Qwen3-14B,42,conflict,unconstrained,6,final,52,0.0,0.0,0.06410560011863708,0.04608168452978134,0.061679743230342865,0.0,0.0,0.0,0.0,1.0,0.00242585688829422,0.018023915588855743
test:328,Qwen3-14B,42,conflict,unconstrained,6,final,45,0.0,0.0,0.021888453513383865,0.03176862373948097,0.02254372276365757,0.0,0.0,1.0,0.0,0.0,-0.0006552692502737045,-0.009880170226097107
test:205,Qwen3-14B,42,conflict,unconstrained,6,final,52,0.0,0.0,0.04681691527366638,0.045384448021650314,0.03670845180749893,0.0,0.0,1.0,0.0,1.0,0.01010846346616745,0.0014324672520160675
test:1797,Qwen3-14B,42,conflict,unconstrained,6,final,51,0.0,0.0,0.015995241701602936,0.026317769661545753,0.02208745665848255,0.0,0.0,1.0,0.0,0.0,-0.006092214956879616,-0.010322527959942818
