model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change
Qwen3-14B,42,benign,global_projection,3,2457600,0.4945722818374634,-0.0206523556262254,-0.0110604763031005,-2.1667659282684326,-2.146113634109497,2303,2.4121433477312157,11.157850688078335,577662,5.763609409332275,0.1960254162549972,0.7673781353980302,2.4141506267065416,819200.0,-0.0013047065585851,-0.0013047065585851,-0.0013047065585851,0.0068011377006769,0.0068011377006769,1.5957483053207395,1.5957483053207395,1.0,0.0,0.0,0.4989959895610809,0.0213494673371315,0.0,0.0010502962395548,0.0010512499138712,-0.0026052892208099365,-0.0027094539254904,0.18646619782429497,0.0017368495464324951,0.002726854756474502
Qwen3-14B,42,benign,global_projection,4,3276800,0.4950065016746521,-0.0196021068841218,-0.0086463689804077,-2.155604362487793,-2.1360020637512207,2303,2.403219762800981,11.058725593205583,577662,6.554716110229492,0.2229316532611847,0.7672594927623868,2.4012136156129418,819200.0,-0.0015162252821028,-0.0015162252821028,-0.0015162252821028,0.0078804166987538,0.0078804166987538,1.3987435102462769,1.3987435102462769,1.0,0.0,0.0,0.4980712831020355,0.0209637694060802,0.0,0.0012131773401051,0.0012141310144215,-0.002171069383621216,-0.0016592051833868027,0.19538978275452967,0.0004342198371887207,0.0010502487421035975
Qwen3-14B,42,benign,global_projection,5,4096000,0.4937038421630859,-0.0187631603330373,-0.0117409229278564,-2.147141695022583,-2.128378629684448,2303,2.3971367221885647,10.991659107186743,577662,7.165291786193848,0.2436978667974472,0.7660552893579006,2.390735962518665,819200.0,-0.0008371258154511,-0.0008371258154511,-0.0008371258154511,0.0047859167680144,0.0047859167680144,1.234846115112305,1.234846115112305,1.0,0.0,0.0,0.4991550147533417,0.0206546001136302,0.0,0.0012836144305765,0.0012845681048929,-0.0034737288951874334,-0.0008202586323023016,0.20147282336694605,-0.0013026595115662176,0.0008389465510845011
Qwen3-14B,42,benign,global_projection,6,4915200,0.4893617033958435,-0.0208179019391536,-0.0167710781097412,-2.1479012966156006,-2.127083301544189,2303,2.3924803879420407,10.940597241275205,577662,7.658729553222656,0.260480135679245,0.7655366004630924,2.376441820563341,819200.0,0.0006587777170352,-1.4551915228366852e-11,0.0,-0.0037613336462527,0.0,1.158945083618164,1.158936858177185,0.9999929070472716,0.0043591796420514,0.0,0.5013617873191833,0.0218385905027389,1.0,0.0014114612713456,0.001412414945662,-0.00781586766242981,-0.0028750002384186,0.20612915761347006,-0.004342138767242376,-0.0020547416061162983
Qwen3-14B,42,benign,unconstrained,0,0,0.4971775710582733,-0.017942901700735,-0.0053540468215942,-2.3270668983459477,-2.309124231338501,2303,2.5986095455555107,13.44503032973152,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
Qwen3-14B,42,benign,unconstrained,1,819200,0.4858879446983337,-0.022415455430746,-0.017469048500061,-2.2164597511291504,-2.194044589996338,2303,2.453287047007485,11.6265008324568,577662,3.116374254226685,0.1059906259179115,0.7762849741429091,2.479956662141194,819200.0,-0.0218203235417604,-0.0218203235417604,-0.0218203235417604,0.0598327741026878,0.0598327741026878,3.116374254226685,3.116374254226685,1.0,0.0,0.0,0.4576831459999084,0.0444448553025722,0.0,0.0013841424370184,0.0013850961113348,-0.01128962635993963,-0.004472553730011,0.1453224985480257,-0.01128962635993963,-0.004472553730011
Qwen3-14B,42,benign,unconstrained,2,1638400,0.4928354322910309,-0.0233792103826999,-0.0139899253845214,-2.1896655559539795,-2.166285991668701,2303,2.4246403388181044,11.298165177007489,577662,4.689293384552002,0.1594869941473007,0.7662935106828809,2.416046544029523,819200.0,-0.0016450444236397,-0.0016450444236397,-0.0016450444236397,0.0073770256713032,0.0073770256713032,2.06320858001709,2.06320858001709,1.0,0.0,0.0,0.4982104897499084,0.0270690508186817,0.0,0.0009183879592455,0.0009193416335619,-0.004342138767242432,-0.005436308681964902,0.17396920673740635,0.006947487592697199,-0.0009637549519539018
Qwen3-14B,42,benign,unconstrained,3,2457600,0.4945722818374634,-0.0206523556262254,-0.0110604763031005,-2.1667659282684326,-2.146113634109497,2303,2.4121433477312157,11.157850688078335,577662,5.763609409332275,0.1960254162549972,0.7673781353980302,2.4141506267065416,819200.0,-0.0013047065585851,-0.0013047065585851,-0.0013047065585851,0.0068011377006769,0.0068011377006769,1.5957483053207395,1.5957483053207395,1.0,0.0,0.0,0.4989959895610809,0.0213494673371315,0.0,0.0010502962395548,0.0010512499138712,-0.0026052892208099365,-0.0027094539254904,0.18646619782429497,0.0017368495464324951,0.002726854756474502
Qwen3-14B,42,benign,unconstrained,4,3276800,0.4950065016746521,-0.0196021068841218,-0.0086463689804077,-2.155604362487793,-2.1360020637512207,2303,2.403219762800981,11.058725593205583,577662,6.554716110229492,0.2229316532611847,0.7672594927623868,2.4012136156129418,819200.0,-0.0015162252821028,-0.0015162252821028,-0.0015162252821028,0.0078804166987538,0.0078804166987538,1.3987435102462769,1.3987435102462769,1.0,0.0,0.0,0.4980712831020355,0.0209637694060802,0.0,0.0012131773401051,0.0012141310144215,-0.002171069383621216,-0.0016592051833868027,0.19538978275452967,0.0004342198371887207,0.0010502487421035975
Qwen3-14B,42,benign,unconstrained,5,4096000,0.4937038421630859,-0.0187631603330373,-0.0117409229278564,-2.147141695022583,-2.128378629684448,2303,2.3971367221885647,10.991659107186743,577662,7.165291786193848,0.2436978667974472,0.7660552893579006,2.390735962518665,819200.0,-0.0008371258154511,-0.0008371258154511,-0.0008371258154511,0.0047859167680144,0.0047859167680144,1.234846115112305,1.234846115112305,1.0,0.0,0.0,0.4991550147533417,0.0206546001136302,0.0,0.0012836144305765,0.0012845681048929,-0.0034737288951874334,-0.0008202586323023016,0.20147282336694605,-0.0013026595115662176,0.0008389465510845011
Qwen3-14B,42,benign,unconstrained,6,4915200,0.4889274835586548,-0.0214969031512737,-0.0159474611282348,-2.148451328277588,-2.1269543170928955,2303,2.392445270713156,10.940213044563746,577662,7.658804893493652,0.2604826986789703,0.7655366004630924,2.376441820563341,819200.0,0.0006587777170352,0.0006587777170352,0.0006587777170352,-0.0037613336462527,-0.0037613336462527,1.158945083618164,1.158945083618164,1.0,0.0,0.0,0.5013617873191833,0.0218385905027389,0.0,0.0014113452052697,0.0014122988795861,-0.00825008749961853,-0.003554001450538701,0.2061642748423549,-0.004776358604431097,-0.0027337428182363996
Qwen3-14B,42,conflict,coordinate_mortality,0,0,0.4971775710582733,-0.017942901700735,-0.0053540468215942,-2.3270668983459477,-2.309124231338501,2303,2.270579826743152,9.68501481693974,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
Qwen3-14B,42,conflict,coordinate_mortality,1,819200,0.5071645379066467,0.0107954982668161,0.0143756866455078,-2.1880805492401123,-2.198876142501831,2303,2.2088084728772746,9.104861238104975,109575,5.439956665039063,0.185017704963684,0.7762849741429091,1.945047697026166,819200.0,-0.0453643091022968,-0.101918801665306,-0.101918801665306,0.063013345003128,0.1600981950759887,6.151901245117188,5.439956665039063,0.8842724561691284,2.8727619647979736,0.3654273450374603,0.3654273450374603,0.0565544813871383,0.0,0.0014161365106701,0.0014170901849865,0.009986966848373413,0.0287383999675511,0.06177135386587729,0.009986966848373413,0.0287383999675511
Qwen3-14B,42,conflict,coordinate_mortality,2,1638400,0.5154146552085876,0.0220302417874336,0.0270755290985107,-1.8965647220611568,-1.9185948371887207,2303,1.9492562036951628,7.023461612507802,109575,7.070748329162598,0.240482360124588,0.732702672816813,1.917151923338097,819200.0,-0.033195961266756,-0.0747194066643714,-0.0747194066643714,0.056623887270689,0.1663570702075958,3.593780994415283,2.7533295154571533,0.7661372423171997,2.309640407562256,0.4397133886814117,0.4397133886814117,0.0415234416723251,0.0,0.0011557026300579,0.0011566563043743,0.01823708415031433,0.0399731434881686,0.321323623047989,0.008250117301940918,0.0112347435206175
Qwen3-14B,42,conflict,coordinate_mortality,3,2457600,0.5258358716964722,0.0594904720783233,0.039055585861206,-2.0731546878814697,-2.132644891738892,2303,2.2059708171464143,9.079061399276547,109575,8.486225128173828,0.288623958826065,0.7319999917224049,1.8971142617301664,819200.0,0.0090369582176208,-0.0624692663550376,-0.0624692663550376,-0.0119314435869455,0.1084148213267326,3.0517914295196533,2.321685075759888,0.7607613801956177,1.9807093143463133,0.4742904305458069,0.4742904305458069,0.0715062320232391,0.0,0.0018220596248283,0.0018230132991448,0.028658300638198853,0.0774333737790583,0.06460900959673754,0.010421216487884521,0.0374602302908897
