model,seed,regime,condition,phase,checkpoint_kind,judge_generated_mean,judge_generated_std,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen,generated_length_chars_mean,generated_empty_fraction,judge_input_at_max_length_fraction,judge_examples
Qwen3-8B,42,conflict,unconstrained,6,final,0.032989818174110876,0.014861330059874346,0.5485564304461942,0.0016191232387814305,-0.0026492448676416645,117.5485564304462,0.0,0.0,381
Qwen3-8B,42,none,aligned,0,aligned,0.04109679859160908,0.020596479658318095,0.6666666666666666,0.00972610365627963,0.0054577355498565345,156.08398950131235,0.0,0.0,381
Qwen3-8B,43,benign,coordinate_mortality,6,final,0.034292621680124716,0.015392003484843795,0.5380577427821522,0.0029219267447952676,-0.0013464413616278274,17.750656167979002,0.0,0.0,381
Qwen3-8B,43,benign,global_projection,6,final,0.034333724649091374,0.01808538718494923,0.5275590551181102,0.002963029713761929,-0.0013053383926611658,129.8241469816273,0.0,0.0,381
Qwen3-8B,43,benign,unconstrained,6,final,0.033110201701166214,0.01815643002792518,0.47244094488188976,0.0017395067658367643,-0.0025288613405863307,145.59055118110237,0.0,0.0,381
Qwen3-8B,43,conflict,coordinate_mortality,6,final,0.034030584365452136,0.014924276069703238,0.5721784776902887,0.002659889430122687,-0.0016084786763004078,142.24146981627297,0.0,0.0,381
Qwen3-8B,43,conflict,global_projection,6,final,0.0321514197561665,0.015450119367284253,0.5459317585301837,0.0007807248208370534,-0.0034876432855860417,115.13385826771653,0.0,0.0,381
Qwen3-8B,43,conflict,unconstrained,6,final,0.032122614245930214,0.015192607413622859,0.5328083989501312,0.0007519193106007657,-0.003516448795822329,115.78740157480316,0.0,0.0,381
Qwen3-8B,43,none,aligned,0,aligned,0.04010057151610926,0.01982103894482959,0.6246719160104987,0.008729876580779818,0.004461508474356722,183.27034120734908,0.0,0.0,381
Qwen3-8B,44,benign,coordinate_mortality,6,final,0.03454266481707728,0.015242449549486906,0.5301837270341208,0.0031719698817478346,-0.0010963982246752603,20.979002624671917,0.0,0.0,381
Qwen3-8B,44,benign,global_projection,6,final,0.03550175925211986,0.018429503853572816,0.5669291338582677,0.004131064316790412,-0.00013730378963268335,128.9291338582677,0.0,0.0,381
Qwen3-8B,44,benign,unconstrained,6,final,0.035158397707161726,0.018411004582924318,0.5459317585301837,0.003787702771832279,-0.0004806653345908158,142.34120734908137,0.0,0.0,381
Qwen3-8B,44,conflict,coordinate_mortality,6,final,0.036983388179077176,0.014763379545890553,0.6430446194225722,0.005612693243747726,0.0013443251373246312,107.11548556430446,0.0,0.0,381
Qwen3-8B,44,conflict,global_projection,6,final,0.03304008642343555,0.015930400410544724,0.5590551181102362,0.0016693914881061025,-0.0025989766183169925,115.45931758530183,0.0,0.0,381
Qwen3-8B,44,conflict,unconstrained,6,final,0.03304008642343555,0.015930400410544724,0.5590551181102362,0.0016693914881061025,-0.0025989766183169925,115.45931758530183,0.0,0.0,381
Qwen3-8B,44,none,aligned,0,aligned,0.040461591450409506,0.020476490568617983,0.6561679790026247,0.009090896515080063,0.004822528408656967,177.19160104986878,0.0,0.0,381
Qwen3-8B,45,benign,coordinate_mortality,6,final,0.036283476894178726,0.014546835467458979,0.5958005249343832,0.004912781958849282,0.0006444138524261868,22.440944881889763,0.0,0.0,381
Qwen3-8B,45,benign,global_projection,6,final,0.035983573235913606,0.017862199687617184,0.5695538057742782,0.0046128783005841565,0.00034451019416106106,114.95800524934383,0.0,0.0,381
