model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance
Qwen3-14B,42,benign,global_projection,3,2457600,0.4945722818374634,-0.02065235562622547,-0.011060476303100586,-2.1667659282684326,-2.146113634109497,2303,2.4121433477312153,11.157850688078335,577662,5.763609409332275,0.19602541625499725,0.7673781353980302,2.4141506267065416,819200.0,-0.001304706558585167,-0.001304706558585167,-0.001304706558585167,0.006801137700676918,0.006801137700676918,1.5957483053207397,1.5957483053207397,1.0,0.0,0.0,0.49899598956108093,0.0213494673371315,0.0,0.001050296239554882,0.0010512499138712883
Qwen3-14B,42,benign,global_projection,4,3276800,0.4950065016746521,-0.019602106884121895,-0.008646368980407715,-2.155604362487793,-2.1360020637512207,2303,2.4032197628009815,11.058725593205583,577662,6.554716110229492,0.2229316532611847,0.7672594927623868,2.4012136156129418,819200.0,-0.0015162252821028233,-0.0015162252821028233,-0.0015162252821028233,0.007880416698753834,0.007880416698753834,1.3987435102462769,1.3987435102462769,1.0,0.0,0.0,0.4980712831020355,0.020963769406080246,0.0,0.001213177340105176,0.0012141310144215822
Qwen3-14B,42,benign,global_projection,5,4096000,0.49370384216308594,-0.018763160333037376,-0.011740922927856445,-2.147141695022583,-2.1283786296844482,2303,2.3971367221885647,10.991659107186745,577662,7.165291786193848,0.2436978667974472,0.7660552893579006,2.3907359625186655,819200.0,-0.0008371258154511452,-0.0008371258154511452,-0.0008371258154511452,0.004785916768014431,0.004785916768014431,1.2348461151123047,1.2348461151123047,1.0,0.0,0.0,0.4991550147533417,0.020654600113630295,0.0,0.0012836144305765629,0.0012845681048929691
Qwen3-14B,42,benign,global_projection,6,4915200,0.4893617033958435,-0.02081790193915367,-0.01677107810974121,-2.1479012966156006,-2.1270833015441895,2303,2.3924803879420407,10.940597241275203,577662,7.658729553222656,0.260480135679245,0.7655366004630924,2.376441820563341,819200.0,0.0006587777170352638,-1.4551915228366852e-11,0.0,-0.0037613336462527514,0.0,1.158945083618164,1.158936858177185,0.9999929070472717,0.004359179642051458,0.0,0.5013617873191833,0.021838590502738953,1.0,0.0014114612713456154,0.0014124149456620216
Qwen3-14B,42,benign,unconstrained,0,0,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303,2.5986095455555107,13.44503032973152,577662,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,42,benign,unconstrained,1,819200,0.48588794469833374,-0.02241545543074608,-0.017469048500061035,-2.2164597511291504,-2.194044589996338,2303,2.4532870470074846,11.6265008324568,577662,3.1163742542266846,0.10599062591791153,0.7762849741429091,2.479956662141194,819200.0,-0.021820323541760445,-0.021820323541760445,-0.021820323541760445,0.059832774102687836,0.059832774102687836,3.1163742542266846,3.1163742542266846,1.0,0.0,0.0,0.45768314599990845,0.04444485530257225,0.0,0.001384142437018454,0.0013850961113348603
Qwen3-14B,42,benign,unconstrained,2,1638400,0.4928354322910309,-0.023379210382699966,-0.013989925384521484,-2.1896655559539795,-2.166285991668701,2303,2.4246403388181044,11.298165177007489,577662,4.689293384552002,0.15948699414730072,0.7662935106828809,2.416046544029523,819200.0,-0.0016450444236397743,-0.0016450444236397743,-0.0016450444236397743,0.007377025671303272,0.007377025671303272,2.06320858001709,2.06320858001709,1.0,0.0,0.0,0.49821048974990845,0.027069050818681717,0.0,0.0009183879592455924,0.0009193416335619986
Qwen3-14B,42,benign,unconstrained,3,2457600,0.4945722818374634,-0.02065235562622547,-0.011060476303100586,-2.1667659282684326,-2.146113634109497,2303,2.4121433477312153,11.157850688078335,577662,5.763609409332275,0.19602541625499725,0.7673781353980302,2.4141506267065416,819200.0,-0.001304706558585167,-0.001304706558585167,-0.001304706558585167,0.006801137700676918,0.006801137700676918,1.5957483053207397,1.5957483053207397,1.0,0.0,0.0,0.49899598956108093,0.0213494673371315,0.0,0.001050296239554882,0.0010512499138712883
Qwen3-14B,42,benign,unconstrained,4,3276800,0.4950065016746521,-0.019602106884121895,-0.008646368980407715,-2.155604362487793,-2.1360020637512207,2303,2.4032197628009815,11.058725593205583,577662,6.554716110229492,0.2229316532611847,0.7672594927623868,2.4012136156129418,819200.0,-0.0015162252821028233,-0.0015162252821028233,-0.0015162252821028233,0.007880416698753834,0.007880416698753834,1.3987435102462769,1.3987435102462769,1.0,0.0,0.0,0.4980712831020355,0.020963769406080246,0.0,0.001213177340105176,0.0012141310144215822
Qwen3-14B,42,benign,unconstrained,5,4096000,0.49370384216308594,-0.018763160333037376,-0.011740922927856445,-2.147141695022583,-2.1283786296844482,2303,2.3971367221885647,10.991659107186745,577662,7.165291786193848,0.2436978667974472,0.7660552893579006,2.3907359625186655,819200.0,-0.0008371258154511452,-0.0008371258154511452,-0.0008371258154511452,0.004785916768014431,0.004785916768014431,1.2348461151123047,1.2348461151123047,1.0,0.0,0.0,0.4991550147533417,0.020654600113630295,0.0,0.0012836144305765629,0.0012845681048929691
Qwen3-14B,42,benign,unconstrained,6,4915200,0.4889274835586548,-0.021496903151273727,-0.015947461128234863,-2.148451328277588,-2.1269543170928955,2303,2.392445270713156,10.940213044563746,577662,7.658804893493652,0.26048269867897034,0.7655366004630924,2.376441820563341,819200.0,0.0006587777170352638,0.0006587777170352638,0.0006587777170352638,-0.0037613336462527514,-0.0037613336462527514,1.158945083618164,1.158945083618164,1.0,0.0,0.0,0.5013617873191833,0.021838590502738953,0.0,0.001411345205269754,0.0014122988795861602
